close,date,high,low,open
81.68,2019-11-07T17:10:00.000Z,81.885,81.68,81.885
81.61,2019-11-07T17:15:00.000Z,81.67,81.59,81.67
81.625,2019-11-07T17:20:00.000Z,81.635,81.595,81.63
81.64,2019-11-07T17:25:00.000Z,81.645,81.61,81.62
81.63,2019-11-07T17:30:00.000Z,81.655,81.58,81.655
81.55,2019-11-07T17:35:00.000Z,81.65,81.52,81.65
81.61,2019-11-07T17:40:00.000Z,81.645,81.545,81.545
81.68,2019-11-07T17:45:00.000Z,81.68,81.62,81.62
81.64,2019-11-07T17:50:00.000Z,81.675,81.635,81.675
81.62,2019-11-07T17:55:00.000Z,81.685,81.62,81.66
81.63,2019-11-07T18:00:00.000Z,81.66,81.61,81.62
81.73,2019-11-07T18:05:00.000Z,81.73,81.65,81.655
81.77,2019-11-07T18:10:00.000Z,81.77,81.745,81.745
81.775,2019-11-07T18:15:00.000Z,81.81,81.77,81.77
81.795,2019-11-07T18:20:00.000Z,81.8,81.75,81.78
81.815,2019-11-07T18:25:00.000Z,81.845,81.785,81.805
81.8,2019-11-07T18:30:00.000Z,81.83,81.795,81.815
81.84,2019-11-07T18:35:00.000Z,81.84,81.7,81.7
81.835,2019-11-07T18:40:00.000Z,81.86,81.835,81.835
81.795,2019-11-07T18:45:00.000Z,81.81,81.755,81.81
81.805,2019-11-07T18:50:00.000Z,81.825,81.795,81.8
81.715,2019-11-07T18:55:00.000Z,81.805,81.715,81.805
81.815,2019-11-07T19:00:00.000Z,81.865,81.72,81.72
81.84,2019-11-07T19:05:00.000Z,81.865,81.795,81.795
81.82,2019-11-07T19:10:00.000Z,81.87,81.82,81.845
81.82,2019-11-07T19:15:00.000Z,81.835,81.795,81.82
81.805,2019-11-07T19:20:00.000Z,81.835,81.805,81.82
81.8,2019-11-07T19:25:00.000Z,81.825,81.785,81.805
81.92,2019-11-07T19:30:00.000Z,81.925,81.795,81.795
81.995,2019-11-07T19:35:00.000Z,81.995,81.93,81.93
81.8,2019-11-07T19:40:00.000Z,82.005,81.72,82.005
81.825,2019-11-07T19:45:00.000Z,81.855,81.8,81.815
81.87,2019-11-07T19:50:00.000Z,81.87,81.805,81.83
81.915,2019-11-07T19:55:00.000Z,81.915,81.85,81.895
82.045,2019-11-07T20:00:00.000Z,82.045,81.915,81.915
82.11,2019-11-07T20:05:00.000Z,82.11,82.04,82.04
82.035,2019-11-07T20:10:00.000Z,82.135,82.015,82.09
82.0,2019-11-07T20:15:00.000Z,82.045,81.97,82.02
81.98,2019-11-07T20:20:00.000Z,81.995,81.915,81.96
81.995,2019-11-07T20:25:00.000Z,81.995,81.97,81.97
82.085,2019-11-07T20:30:00.000Z,82.105,81.995,81.995
82.095,2019-11-07T20:35:00.000Z,82.11,82.07,82.09
81.975,2019-11-07T20:40:00.000Z,82.105,81.96,82.105
82.04,2019-11-07T20:45:00.000Z,82.04,81.95,81.98
81.905,2019-11-07T20:50:00.000Z,82.045,81.885,82.025
82.02,2019-11-07T20:55:00.000Z,82.03,81.915,81.93
82.02,2019-11-07T21:00:00.000Z,82.02,82.02,82.02
