close,date,high,low,open
83.13,2019-11-07T17:10:00.000Z,83.15,83.1,83.13
83.145,2019-11-07T17:15:00.000Z,83.155,83.12,83.135
83.16,2019-11-07T17:20:00.000Z,83.16,83.14,83.145
83.22,2019-11-07T17:25:00.000Z,83.22,83.16,83.16
83.255,2019-11-07T17:30:00.000Z,83.255,83.18,83.2
83.22,2019-11-07T17:35:00.000Z,83.25,83.22,83.23
83.27,2019-11-07T17:40:00.000Z,83.27,83.225,83.23
83.24,2019-11-07T17:45:00.000Z,83.24,83.22,83.22
83.24,2019-11-07T17:50:00.000Z,83.27,83.24,83.27
83.28,2019-11-07T17:55:00.000Z,83.28,83.26,83.26
83.32,2019-11-07T18:00:00.000Z,83.32,83.28,83.29
83.28,2019-11-07T18:05:00.000Z,83.33,83.28,83.315
83.275,2019-11-07T18:10:00.000Z,83.305,83.275,83.305
83.26,2019-11-07T18:15:00.000Z,83.3,83.26,83.27
83.25,2019-11-07T18:20:00.000Z,83.265,83.245,83.26
83.29,2019-11-07T18:25:00.000Z,83.295,83.26,83.26
83.27,2019-11-07T18:30:00.000Z,83.3,83.26,83.3
83.265,2019-11-07T18:35:00.000Z,83.265,83.245,83.265
83.25,2019-11-07T18:40:00.000Z,83.275,83.245,83.255
83.32,2019-11-07T18:45:00.000Z,83.32,83.25,83.25
83.335,2019-11-07T18:50:00.000Z,83.35,83.32,83.32
83.31,2019-11-07T18:55:00.000Z,83.325,83.295,83.32
83.245,2019-11-07T19:00:00.000Z,83.325,83.245,83.31
83.11,2019-11-07T19:05:00.000Z,83.22,83.11,83.22
83.295,2019-11-07T19:10:00.000Z,83.315,83.085,83.085
83.26,2019-11-07T19:15:00.000Z,83.295,83.26,83.295
83.295,2019-11-07T19:20:00.000Z,83.295,83.26,83.26
83.24,2019-11-07T19:25:00.000Z,83.25,83.23,83.25
83.24,2019-11-07T19:30:00.000Z,83.28,83.235,83.235
83.26,2019-11-07T19:35:00.000Z,83.26,83.24,83.245
83.16,2019-11-07T19:40:00.000Z,83.27,83.04,83.27
