close,date,high,low,open
132.28,2019-11-07T17:10:00.000Z,132.36,132.235,132.25
131.995,2019-11-07T17:15:00.000Z,132.265,131.94,132.255
132.0,2019-11-07T17:20:00.000Z,132.03,132.0,132.01
132.125,2019-11-07T17:25:00.000Z,132.125,132.015,132.015
132.16,2019-11-07T17:30:00.000Z,132.16,132.095,132.125
132.085,2019-11-07T17:35:00.000Z,132.19,132.07,132.19
132.05,2019-11-07T17:40:00.000Z,132.1,132.05,132.085
132.19,2019-11-07T17:45:00.000Z,132.19,132.06,132.08
132.12,2019-11-07T17:50:00.000Z,132.17,132.09,132.15
132.15,2019-11-07T17:55:00.000Z,132.195,132.09,132.09
132.135,2019-11-07T18:00:00.000Z,132.17,132.12,132.15
132.205,2019-11-07T18:05:00.000Z,132.205,132.07,132.135
132.22,2019-11-07T18:10:00.000Z,132.27,132.155,132.175
132.16,2019-11-07T18:15:00.000Z,132.19,132.16,132.185
132.2,2019-11-07T18:20:00.000Z,132.2,132.16,132.19
132.16,2019-11-07T18:25:00.000Z,132.2,132.12,132.2
132.16,2019-11-07T18:30:00.000Z,132.175,132.14,132.17
132.1,2019-11-07T18:35:00.000Z,132.16,132.08,132.16
131.98,2019-11-07T18:40:00.000Z,132.18,131.98,132.12
131.94,2019-11-07T18:45:00.000Z,131.99,131.875,131.99
131.84,2019-11-07T18:50:00.000Z,131.865,131.815,131.855
131.735,2019-11-07T18:55:00.000Z,131.85,131.735,131.85
131.78,2019-11-07T19:00:00.000Z,131.79,131.72,131.77
131.795,2019-11-07T19:05:00.000Z,131.85,131.755,131.765
131.855,2019-11-07T19:10:00.000Z,131.88,131.81,131.81
131.91,2019-11-07T19:15:00.000Z,131.91,131.855,131.855
131.7,2019-11-07T19:20:00.000Z,131.93,131.7,131.91
131.58,2019-11-07T19:25:00.000Z,131.7,131.58,131.7
131.58,2019-11-07T19:30:00.000Z,131.635,131.54,131.6
131.505,2019-11-07T19:35:00.000Z,131.59,131.47,131.58
131.43,2019-11-07T19:40:00.000Z,131.515,131.255,131.515
131.34,2019-11-07T19:45:00.000Z,131.45,131.265,131.45
131.4,2019-11-07T19:50:00.000Z,131.47,131.295,131.295
131.29,2019-11-07T19:55:00.000Z,131.4,131.27,131.4
131.265,2019-11-07T20:00:00.000Z,131.32,131.26,131.3
131.19,2019-11-07T20:05:00.000Z,131.28,131.19,131.265
131.12,2019-11-07T20:10:00.000Z,131.21,131.12,131.2
131.095,2019-11-07T20:15:00.000Z,131.095,131.06,131.09
131.16,2019-11-07T20:20:00.000Z,131.18,131.02,131.08
131.14,2019-11-07T20:25:00.000Z,131.16,131.12,131.16
131.08,2019-11-07T20:30:00.000Z,131.16,131.08,131.14
131.105,2019-11-07T20:35:00.000Z,131.155,131.04,131.085
131.055,2019-11-07T20:40:00.000Z,131.09,131.055,131.09
131.24,2019-11-07T20:45:00.000Z,131.24,131.06,131.06
131.255,2019-11-07T20:50:00.000Z,131.34,131.22,131.29
131.4,2019-11-07T20:55:00.000Z,131.48,131.265,131.265
131.4,2019-11-07T21:00:00.000Z,131.4,131.4,131.4
131.195,2019-11-08T14:30:00.000Z,131.4,131.195,131.4
131.065,2019-11-08T14:35:00.000Z,131.26,131.01,131.22
131.32,2019-11-08T14:40:00.000Z,131.32,131.03,131.03
131.54,2019-11-08T14:45:00.000Z,131.54,131.24,131.33
131.45,2019-11-08T14:50:00.000Z,131.56,131.42,131.56
131.16,2019-11-08T14:55:00.000Z,131.52,131.16,131.47
131.36,2019-11-08T15:00:00.000Z,131.405,131.065,131.08
131.36,2019-11-08T15:05:00.000Z,131.36,131.27,131.36
131.15,2019-11-08T15:10:00.000Z,131.34,131.15,131.3
131.16,2019-11-08T15:15:00.000Z,131.18,131.055,131.14
131.09,2019-11-08T15:20:00.000Z,131.12,131.055,131.1
131.07,2019-11-08T15:25:00.000Z,131.155,131.05,131.08
131.03,2019-11-08T15:30:00.000Z,131.1,131.03,131.07
131.06,2019-11-08T15:35:00.000Z,131.11,130.98,131.015
131.08,2019-11-08T15:40:00.000Z,131.2,131.045,131.06
131.105,2019-11-08T15:45:00.000Z,131.14,131.04,131.1
131.24,2019-11-08T15:50:00.000Z,131.24,131.095,131.105
131.36,2019-11-08T15:55:00.000Z,131.36,131.29,131.29
131.335,2019-11-08T16:00:00.000Z,131.38,131.335,131.35
131.245,2019-11-08T16:05:00.000Z,131.35,131.195,131.35
131.28,2019-11-08T16:10:00.000Z,131.295,131.22,131.28
131.26,2019-11-08T16:15:00.000Z,131.26,131.165,131.25
131.25,2019-11-08T16:20:00.000Z,131.27,131.24,131.24
131.22,2019-11-08T16:25:00.000Z,131.27,131.17,131.27
131.22,2019-11-08T16:30:00.000Z,131.26,131.19,131.21
131.29,2019-11-08T16:35:00.000Z,131.29,131.19,131.225
131.29,2019-11-08T16:40:00.000Z,131.29,131.22,131.29
131.395,2019-11-08T16:45:00.000Z,131.41,131.3,131.3
131.66,2019-11-08T16:50:00.000Z,131.74,131.44,131.44
131.73,2019-11-08T16:55:00.000Z,131.73,131.56,131.635
131.82,2019-11-08T17:00:00.000Z,131.84,131.71,131.73
131.81,2019-11-08T17:05:00.000Z,131.825,131.72,131.825
131.76,2019-11-08T17:10:00.000Z,131.82,131.735,131.81
131.76,2019-11-08T17:15:00.000Z,131.76,131.7,131.75
131.8,2019-11-08T17:20:00.000Z,131.83,131.79,131.79
131.77,2019-11-08T17:25:00.000Z,131.85,131.77,131.84
131.74,2019-11-08T17:30:00.000Z,131.77,131.71,131.71
131.76,2019-11-08T17:35:00.000Z,131.77,131.715,131.72
131.77,2019-11-08T17:40:00.000Z,131.83,131.77,131.77
131.78,2019-11-08T17:45:00.000Z,131.84,131.77,131.77
131.92,2019-11-08T17:50:00.000Z,131.92,131.78,131.78
131.88,2019-11-08T17:55:00.000Z,131.92,131.86,131.9
131.87,2019-11-08T18:00:00.000Z,131.87,131.82,131.855
131.85,2019-11-08T18:05:00.000Z,131.87,131.835,131.87
131.92,2019-11-08T18:10:00.000Z,131.92,131.825,131.83
131.98,2019-11-08T18:15:00.000Z,131.98,131.89,131.89
131.93,2019-11-08T18:20:00.000Z,132.03,131.93,131.99
131.95,2019-11-08T18:25:00.000Z,131.95,131.87,131.93
131.91,2019-11-08T18:30:00.000Z,131.96,131.91,131.96
131.98,2019-11-08T18:35:00.000Z,131.98,131.905,131.91
132.03,2019-11-08T18:40:00.000Z,132.05,131.965,131.965
132.09,2019-11-08T18:45:00.000Z,132.1,132.045,132.045
132.14,2019-11-08T18:50:00.000Z,132.16,132.06,132.1
132.09,2019-11-08T18:55:00.000Z,132.17,132.08,132.16
132.14,2019-11-08T19:00:00.000Z,132.14,132.08,132.09
132.24,2019-11-08T19:05:00.000Z,132.35,132.16,132.16
132.23,2019-11-08T19:10:00.000Z,132.29,132.18,132.27
132.17,2019-11-08T19:15:00.000Z,132.24,132.17,132.24
132.08,2019-11-08T19:20:00.000Z,132.19,132.08,132.17
132.025,2019-11-08T19:25:00.000Z,132.065,132.02,132.065
132.06,2019-11-08T19:30:00.000Z,132.12,132.0,132.025
132.0,2019-11-08T19:35:00.000Z,132.06,131.99,132.06
132.02,2019-11-08T19:40:00.000Z,132.045,132.0,132.0
132.01,2019-11-08T19:45:00.000Z,132.04,131.995,132.015
132.08,2019-11-08T19:50:00.000Z,132.08,131.995,132.005
132.22,2019-11-08T19:55:00.000Z,132.22,132.1,132.1
132.355,2019-11-08T20:00:00.000Z,132.38,132.26,132.27
132.43,2019-11-08T20:05:00.000Z,132.5,132.34,132.345
132.43,2019-11-08T20:10:00.000Z,132.47,132.39,132.43
132.44,2019-11-08T20:15:00.000Z,132.48,132.39,132.44
132.49,2019-11-08T20:20:00.000Z,132.5,132.4,132.44
132.515,2019-11-08T20:25:00.000Z,132.62,132.49,132.51
