close,date,high,low,open
82.42,2019-11-07T17:10:00.000Z,82.47,82.42,82.445
82.48,2019-11-07T17:15:00.000Z,82.5,82.415,82.415
82.5,2019-11-07T17:20:00.000Z,82.515,82.475,82.48
82.52,2019-11-07T17:25:00.000Z,82.53,82.485,82.49
82.515,2019-11-07T17:30:00.000Z,82.52,82.46,82.52
82.58,2019-11-07T17:35:00.000Z,82.615,82.52,82.52
82.545,2019-11-07T17:40:00.000Z,82.66,82.545,82.58
82.59,2019-11-07T17:45:00.000Z,82.665,82.55,82.55
82.67,2019-11-07T17:50:00.000Z,82.67,82.505,82.585
82.77,2019-11-07T17:55:00.000Z,82.78,82.72,82.75
82.69,2019-11-07T18:00:00.000Z,82.78,82.68,82.77
82.695,2019-11-07T18:05:00.000Z,82.77,82.65,82.65
82.645,2019-11-07T18:10:00.000Z,82.74,82.645,82.74
82.75,2019-11-07T18:15:00.000Z,82.75,82.63,82.645
82.67,2019-11-07T18:20:00.000Z,82.77,82.67,82.77
82.73,2019-11-07T18:25:00.000Z,82.75,82.695,82.695
82.67,2019-11-07T18:30:00.000Z,82.745,82.62,82.725
82.68,2019-11-07T18:35:00.000Z,82.75,82.66,82.66
82.695,2019-11-07T18:40:00.000Z,82.695,82.65,82.65
82.62,2019-11-07T18:45:00.000Z,82.735,82.61,82.735
82.67,2019-11-07T18:50:00.000Z,82.68,82.62,82.62
82.63,2019-11-07T18:55:00.000Z,82.76,82.63,82.67
82.66,2019-11-07T19:00:00.000Z,82.68,82.645,82.65
82.625,2019-11-07T19:05:00.000Z,82.66,82.625,82.66
82.57,2019-11-07T19:10:00.000Z,82.605,82.54,82.6
82.48,2019-11-07T19:15:00.000Z,82.57,82.48,82.565
82.47,2019-11-07T19:20:00.000Z,82.49,82.43,82.47
82.5,2019-11-07T19:25:00.000Z,82.5,82.4,82.4
82.53,2019-11-07T19:30:00.000Z,82.54,82.49,82.495
82.495,2019-11-07T19:35:00.000Z,82.52,82.49,82.515
82.42,2019-11-07T19:40:00.000Z,82.495,82.34,82.495
82.52,2019-11-07T19:45:00.000Z,82.545,82.42,82.42
82.45,2019-11-07T19:50:00.000Z,82.5,82.45,82.5
82.425,2019-11-07T19:55:00.000Z,82.445,82.38,82.43
82.49,2019-11-07T20:00:00.000Z,82.5,82.43,82.43
82.495,2019-11-07T20:05:00.000Z,82.505,82.48,82.49
82.46,2019-11-07T20:10:00.000Z,82.51,82.46,82.5
82.37,2019-11-07T20:15:00.000Z,82.46,82.37,82.46
82.32,2019-11-07T20:20:00.000Z,82.405,82.32,82.38
82.305,2019-11-07T20:25:00.000Z,82.35,82.3,82.335
82.415,2019-11-07T20:30:00.000Z,82.425,82.285,82.305
82.38,2019-11-07T20:35:00.000Z,82.43,82.38,82.415
82.265,2019-11-07T20:40:00.000Z,82.41,82.265,82.395
82.42,2019-11-07T20:45:00.000Z,82.42,82.245,82.265
82.4,2019-11-07T20:50:00.000Z,82.51,82.395,82.43
82.29,2019-11-07T20:55:00.000Z,82.465,82.28,82.405
82.29,2019-11-07T21:00:00.000Z,82.29,82.29,82.29
82.16,2019-11-08T14:30:00.000Z,82.335,82.16,82.175
