close,date,high,low,open
338.775,2019-11-18T17:10:00.000Z,338.775,338.16,338.16
339.24,2019-11-18T17:15:00.000Z,339.28,338.775,338.775
339.55,2019-11-18T17:20:00.000Z,339.55,339.26,339.26
339.585,2019-11-18T17:25:00.000Z,339.585,339.55,339.55
339.475,2019-11-18T17:30:00.000Z,339.475,339.475,339.475
339.585,2019-11-18T17:35:00.000Z,339.585,339.475,339.475
339.49,2019-11-18T17:40:00.000Z,339.585,339.27,339.585
340.19,2019-11-18T17:45:00.000Z,340.19,339.49,339.49
340.19,2019-11-18T17:50:00.000Z,340.19,340.19,340.19
340.065,2019-11-18T17:55:00.000Z,340.065,340.065,340.065
340.21,2019-11-18T18:00:00.000Z,340.21,340.065,340.065
340.37,2019-11-18T18:05:00.000Z,340.45,340.37,340.45
340.105,2019-11-18T18:10:00.000Z,340.37,340.105,340.37
340.31,2019-11-18T18:15:00.000Z,340.31,340.095,340.095
340.7,2019-11-18T18:20:00.000Z,340.72,340.31,340.31
340.7,2019-11-18T18:25:00.000Z,340.7,340.7,340.7
340.7,2019-11-18T18:30:00.000Z,340.7,340.7,340.7
339.8,2019-11-18T18:35:00.000Z,340.27,339.8,340.27
339.37,2019-11-18T18:40:00.000Z,339.65,339.35,339.65
339.13,2019-11-18T18:45:00.000Z,339.37,339.105,339.37
338.665,2019-11-18T18:50:00.000Z,339.13,338.665,339.13
338.5,2019-11-18T18:55:00.000Z,338.665,338.5,338.665
338.44,2019-11-18T19:00:00.000Z,338.55,338.435,338.5
338.41,2019-11-18T19:05:00.000Z,338.41,338.24,338.35
338.615,2019-11-18T19:10:00.000Z,338.76,338.38,338.38
338.47,2019-11-18T19:15:00.000Z,338.65,338.47,338.61
339.09,2019-11-18T19:20:00.000Z,339.09,338.66,338.66
338.85,2019-11-18T19:25:00.000Z,339.09,338.85,339.09
338.165,2019-11-18T19:30:00.000Z,338.65,338.165,338.65
338.37,2019-11-18T19:35:00.000Z,338.37,338.06,338.165
338.32,2019-11-18T19:40:00.000Z,338.33,338.32,338.33
338.32,2019-11-18T19:45:00.000Z,338.32,338.32,338.32
338.325,2019-11-18T19:50:00.000Z,338.325,338.11,338.32
338.25,2019-11-18T19:55:00.000Z,338.25,338.145,338.145
338.42,2019-11-18T20:00:00.000Z,338.48,338.365,338.39
338.475,2019-11-18T20:05:00.000Z,338.61,338.42,338.42
338.475,2019-11-18T20:10:00.000Z,338.475,338.475,338.475
338.105,2019-11-18T20:15:00.000Z,338.38,338.105,338.38
338.645,2019-11-18T20:20:00.000Z,338.645,338.23,338.255
338.935,2019-11-18T20:25:00.000Z,338.935,338.775,338.775
339.15,2019-11-18T20:30:00.000Z,339.335,338.95,338.95
338.88,2019-11-18T20:35:00.000Z,339.265,338.88,339.265
338.475,2019-11-18T20:40:00.000Z,338.88,338.39,338.88
338.76,2019-11-18T20:45:00.000Z,338.76,338.475,338.475
339.305,2019-11-18T20:50:00.000Z,339.305,339.035,339.05
339.985,2019-11-18T20:55:00.000Z,339.985,339.18,339.85
339.985,2019-11-18T21:00:00.000Z,339.985,339.985,339.985
347.0,2019-11-19T14:30:00.000Z,347.0,344.07,344.07
346.715,2019-11-19T14:35:00.000Z,347.0,346.09,347.0
344.93,2019-11-19T14:40:00.000Z,346.715,344.83,346.715
343.73,2019-11-19T14:45:00.000Z,344.465,343.07,344.465
343.41,2019-11-19T14:50:00.000Z,343.735,343.39,343.39
343.21,2019-11-19T14:55:00.000Z,344.13,343.21,343.41
343.085,2019-11-19T15:00:00.000Z,343.21,343.085,343.21
