close,date,high,low,open
46.705,2019-11-18T17:10:00.000Z,46.705,46.69,46.69
46.74,2019-11-18T17:15:00.000Z,46.74,46.705,46.705
46.745,2019-11-18T17:20:00.000Z,46.75,46.74,46.74
46.735,2019-11-18T17:25:00.000Z,46.745,46.725,46.745
46.745,2019-11-18T17:30:00.000Z,46.75,46.725,46.735
46.75,2019-11-18T17:35:00.000Z,46.75,46.74,46.745
46.765,2019-11-18T17:40:00.000Z,46.765,46.75,46.76
46.765,2019-11-18T17:45:00.000Z,46.765,46.765,46.765
46.76,2019-11-18T17:50:00.000Z,46.765,46.76,46.765
46.76,2019-11-18T17:55:00.000Z,46.76,46.76,46.76
46.76,2019-11-18T18:00:00.000Z,46.76,46.76,46.76
46.785,2019-11-18T18:05:00.000Z,46.785,46.76,46.76
46.785,2019-11-18T18:10:00.000Z,46.785,46.785,46.785
46.765,2019-11-18T18:15:00.000Z,46.775,46.765,46.775
46.765,2019-11-18T18:20:00.000Z,46.765,46.765,46.765
46.775,2019-11-18T18:25:00.000Z,46.815,46.775,46.815
46.76,2019-11-18T18:30:00.000Z,46.775,46.755,46.775
46.76,2019-11-18T18:35:00.000Z,46.76,46.76,46.76
46.8,2019-11-18T18:40:00.000Z,46.8,46.76,46.76
46.805,2019-11-18T18:45:00.000Z,46.815,46.805,46.815
46.805,2019-11-18T18:50:00.000Z,46.805,46.805,46.805
46.805,2019-11-18T18:55:00.000Z,46.805,46.805,46.805
46.805,2019-11-18T19:00:00.000Z,46.805,46.805,46.805
46.805,2019-11-18T19:05:00.000Z,46.805,46.805,46.805
46.775,2019-11-18T19:10:00.000Z,46.775,46.775,46.775
46.8,2019-11-18T19:15:00.000Z,46.8,46.775,46.775
46.785,2019-11-18T19:20:00.000Z,46.8,46.785,46.8
46.785,2019-11-18T19:25:00.000Z,46.785,46.785,46.785
46.78,2019-11-18T19:30:00.000Z,46.8,46.78,46.785
46.75,2019-11-18T19:35:00.000Z,46.78,46.75,46.78
46.77,2019-11-18T19:40:00.000Z,46.77,46.75,46.75
46.785,2019-11-18T19:45:00.000Z,46.785,46.77,46.77
46.775,2019-11-18T19:50:00.000Z,46.785,46.775,46.785
46.775,2019-11-18T19:55:00.000Z,46.79,46.76,46.79
46.785,2019-11-18T20:00:00.000Z,46.785,46.775,46.775
46.73,2019-11-18T20:05:00.000Z,46.785,46.73,46.785
46.75,2019-11-18T20:10:00.000Z,46.75,46.73,46.73
46.735,2019-11-18T20:15:00.000Z,46.745,46.735,46.745
46.725,2019-11-18T20:20:00.000Z,46.73,46.725,46.725
46.74,2019-11-18T20:25:00.000Z,46.74,46.725,46.725
46.755,2019-11-18T20:30:00.000Z,46.755,46.72,46.72
46.76,2019-11-18T20:35:00.000Z,46.775,46.745,46.76
46.76,2019-11-18T20:40:00.000Z,46.77,46.75,46.76
46.745,2019-11-18T20:45:00.000Z,46.75,46.74,46.745
46.75,2019-11-18T20:50:00.000Z,46.75,46.725,46.74
46.73,2019-11-18T20:55:00.000Z,46.75,46.72,46.745
46.73,2019-11-18T21:00:00.000Z,46.73,46.73,46.73
46.3,2019-11-19T14:30:00.000Z,46.3,46.12,46.285
46.335,2019-11-19T14:35:00.000Z,46.34,46.265,46.31
46.29,2019-11-19T14:40:00.000Z,46.37,46.285,46.335
46.365,2019-11-19T14:45:00.000Z,46.365,46.285,46.285
46.315,2019-11-19T14:50:00.000Z,46.41,46.315,46.37
46.27,2019-11-19T14:55:00.000Z,46.345,46.27,46.305
46.275,2019-11-19T15:00:00.000Z,46.315,46.255,46.265
46.26,2019-11-19T15:05:00.000Z,46.28,46.255,46.27
46.26,2019-11-19T15:10:00.000Z,46.285,46.255,46.265
46.22,2019-11-19T15:15:00.000Z,46.255,46.215,46.255
46.225,2019-11-19T15:20:00.000Z,46.23,46.195,46.225
46.21,2019-11-19T15:25:00.000Z,46.255,46.21,46.225
46.23,2019-11-19T15:30:00.000Z,46.23,46.155,46.215
46.215,2019-11-19T15:35:00.000Z,46.245,46.21,46.225
46.195,2019-11-19T15:40:00.000Z,46.22,46.185,46.22
46.13,2019-11-19T15:45:00.000Z,46.2,46.12,46.185
46.045,2019-11-19T15:50:00.000Z,46.135,46.025,46.135
45.975,2019-11-19T15:55:00.000Z,46.04,45.97,46.035
45.995,2019-11-19T16:00:00.000Z,46.005,45.965,45.985
45.945,2019-11-19T16:05:00.000Z,45.995,45.945,45.99
45.99,2019-11-19T16:10:00.000Z,45.995,45.935,45.95
46.005,2019-11-19T16:15:00.000Z,46.05,45.975,45.995
46.005,2019-11-19T16:20:00.000Z,46.035,45.985,46.01
46.025,2019-11-19T16:25:00.000Z,46.065,46.015,46.015
46.0,2019-11-19T16:30:00.000Z,46.025,45.975,46.025
46.0,2019-11-19T16:35:00.000Z,46.0,46.0,46.0
45.985,2019-11-19T16:40:00.000Z,46.0,45.985,46.0
45.965,2019-11-19T16:45:00.000Z,45.965,45.965,45.965
46.0,2019-11-19T16:50:00.000Z,46.005,45.965,45.965
