close,date,high,low,open
308.94,2019-11-07T17:15:00.000Z,308.995,308.865,308.975
309.04,2019-11-07T17:20:00.000Z,309.065,308.93,308.945
309.115,2019-11-07T17:25:00.000Z,309.135,308.96,309.04
309.06,2019-11-07T17:30:00.000Z,309.135,309.005,309.115
309.04,2019-11-07T17:35:00.000Z,309.08,308.95,309.065
308.945,2019-11-07T17:40:00.000Z,309.06,308.93,309.04
309.065,2019-11-07T17:45:00.000Z,309.09,308.87,308.945
309.03,2019-11-07T17:50:00.000Z,309.09,308.99,309.06
309.09,2019-11-07T17:55:00.000Z,309.16,309.015,309.03
308.985,2019-11-07T18:00:00.000Z,309.115,308.975,309.09
308.905,2019-11-07T18:05:00.000Z,309.005,308.855,308.975
308.895,2019-11-07T18:10:00.000Z,308.95,308.87,308.91
308.895,2019-11-07T18:15:00.000Z,308.95,308.845,308.89
308.855,2019-11-07T18:20:00.000Z,308.9,308.82,308.89
308.88,2019-11-07T18:25:00.000Z,308.905,308.83,308.85
308.76,2019-11-07T18:30:00.000Z,308.88,308.705,308.875
308.73,2019-11-07T18:35:00.000Z,308.78,308.65,308.755
308.725,2019-11-07T18:40:00.000Z,308.775,308.71,308.73
308.715,2019-11-07T18:45:00.000Z,308.76,308.645,308.72
308.77,2019-11-07T18:50:00.000Z,308.8,308.705,308.72
308.75,2019-11-07T18:55:00.000Z,308.815,308.71,308.77
308.92,2019-11-07T19:00:00.000Z,308.945,308.73,308.75
308.85,2019-11-07T19:05:00.000Z,308.94,308.835,308.915
308.94,2019-11-07T19:10:00.000Z,308.95,308.83,308.85
308.975,2019-11-07T19:15:00.000Z,308.985,308.88,308.945
308.925,2019-11-07T19:20:00.000Z,308.99,308.92,308.98
308.855,2019-11-07T19:25:00.000Z,308.935,308.845,308.92
308.73,2019-11-07T19:30:00.000Z,308.855,308.705,308.85
308.79,2019-11-07T19:35:00.000Z,308.795,308.685,308.73
308.28,2019-11-07T19:40:00.000Z,308.83,307.91,308.79
308.25,2019-11-07T19:45:00.000Z,308.47,308.205,308.26
308.25,2019-11-07T19:50:00.000Z,308.425,308.03,308.25
308.385,2019-11-07T19:55:00.000Z,308.425,308.225,308.26
308.48,2019-11-07T20:00:00.000Z,308.56,308.36,308.395
308.39,2019-11-07T20:05:00.000Z,308.52,308.36,308.49
308.215,2019-11-07T20:10:00.000Z,308.405,308.205,308.39
307.855,2019-11-07T20:15:00.000Z,308.22,307.835,308.22
307.85,2019-11-07T20:20:00.000Z,307.985,307.66,307.85
308.045,2019-11-07T20:25:00.000Z,308.06,307.81,307.85
308.11,2019-11-07T20:30:00.000Z,308.12,307.985,308.045
307.965,2019-11-07T20:35:00.000Z,308.145,307.905,308.11
307.71,2019-11-07T20:40:00.000Z,307.985,307.655,307.96
308.145,2019-11-07T20:45:00.000Z,308.15,307.71,307.71
307.865,2019-11-07T20:50:00.000Z,308.24,307.795,308.145
308.235,2019-11-07T20:55:00.000Z,308.24,307.77,307.865
308.205,2019-11-07T21:00:00.000Z,308.28,308.145,308.24
307.845,2019-11-08T14:30:00.000Z,307.96,307.68,307.81
308.015,2019-11-08T14:35:00.000Z,308.095,307.71,307.83
308.12,2019-11-08T14:40:00.000Z,308.15,307.92,308.015
308.145,2019-11-08T14:45:00.000Z,308.25,308.09,308.135
308.055,2019-11-08T14:50:00.000Z,308.31,308.02,308.135
307.32,2019-11-08T14:55:00.000Z,308.13,307.29,308.055
307.545,2019-11-08T15:00:00.000Z,307.82,307.01,307.31
307.595,2019-11-08T15:05:00.000Z,307.715,307.33,307.555
