close,date,high,low,open
25.34,2019-11-07T17:10:00.000Z,25.34,25.34,25.34
25.34,2019-11-07T17:15:00.000Z,25.34,25.34,25.34
25.34,2019-11-07T17:20:00.000Z,25.34,25.34,25.34
25.34,2019-11-07T17:25:00.000Z,25.34,25.34,25.34
25.34,2019-11-07T17:30:00.000Z,25.34,25.34,25.34
25.34,2019-11-07T17:35:00.000Z,25.34,25.34,25.34
25.26,2019-11-07T17:40:00.000Z,25.34,25.26,25.34
25.26,2019-11-07T17:45:00.000Z,25.26,25.26,25.26
25.36,2019-11-07T17:50:00.000Z,25.36,25.26,25.26
25.36,2019-11-07T17:55:00.000Z,25.36,25.36,25.36
25.36,2019-11-07T18:00:00.000Z,25.36,25.36,25.36
25.36,2019-11-07T18:05:00.000Z,25.36,25.36,25.36
25.36,2019-11-07T18:10:00.000Z,25.36,25.36,25.36
25.36,2019-11-07T18:15:00.000Z,25.36,25.36,25.36
25.3,2019-11-07T18:20:00.000Z,25.36,25.3,25.36
25.3,2019-11-07T18:25:00.000Z,25.3,25.3,25.3
25.3,2019-11-07T18:30:00.000Z,25.3,25.3,25.3
25.3,2019-11-07T18:35:00.000Z,25.3,25.3,25.3
25.165,2019-11-07T18:40:00.000Z,25.165,25.165,25.165
25.165,2019-11-07T18:45:00.000Z,25.165,25.165,25.165
25.165,2019-11-07T18:50:00.000Z,25.165,25.165,25.165
25.26,2019-11-07T18:55:00.000Z,25.26,25.26,25.26
25.26,2019-11-07T19:00:00.000Z,25.26,25.26,25.26
25.26,2019-11-07T19:05:00.000Z,25.26,25.26,25.26
25.07,2019-11-07T19:10:00.000Z,25.07,25.07,25.07
25.07,2019-11-07T19:15:00.000Z,25.07,25.07,25.07
25.07,2019-11-07T19:20:00.000Z,25.07,25.07,25.07
25.07,2019-11-07T19:25:00.000Z,25.07,25.07,25.07
25.145,2019-11-07T19:30:00.000Z,25.19,25.07,25.07
25.16,2019-11-07T19:35:00.000Z,25.16,25.16,25.16
25.175,2019-11-07T19:40:00.000Z,25.175,25.16,25.16
25.175,2019-11-07T19:45:00.000Z,25.175,25.175,25.175
25.175,2019-11-07T19:50:00.000Z,25.175,25.175,25.175
25.175,2019-11-07T19:55:00.000Z,25.175,25.175,25.175
25.07,2019-11-07T20:00:00.000Z,25.1,25.07,25.1
25.07,2019-11-07T20:05:00.000Z,25.07,25.07,25.07
25.1,2019-11-07T20:10:00.000Z,25.1,25.07,25.07
25.1,2019-11-07T20:15:00.000Z,25.1,25.1,25.1
25.1,2019-11-07T20:20:00.000Z,25.1,25.1,25.1
25.1,2019-11-07T20:25:00.000Z,25.1,25.1,25.1
25.1,2019-11-07T20:30:00.000Z,25.1,25.1,25.1
25.165,2019-11-07T20:35:00.000Z,25.165,25.1,25.1
25.11,2019-11-07T20:40:00.000Z,25.165,25.08,25.165
25.14,2019-11-07T20:45:00.000Z,25.165,25.11,25.11
25.145,2019-11-07T20:50:00.000Z,25.185,25.145,25.185
25.14,2019-11-07T20:55:00.000Z,25.17,25.13,25.17
25.14,2019-11-07T21:00:00.000Z,25.14,25.14,25.14
25.14,2019-11-08T14:30:00.000Z,25.14,25.14,25.14
25.24,2019-11-08T14:35:00.000Z,25.24,25.14,25.14
25.24,2019-11-08T14:40:00.000Z,25.24,25.24,25.24
25.66,2019-11-08T14:45:00.000Z,25.66,25.435,25.435
25.66,2019-11-08T14:50:00.000Z,25.66,25.66,25.66
25.66,2019-11-08T14:55:00.000Z,25.66,25.66,25.66
25.59,2019-11-08T15:00:00.000Z,25.66,25.59,25.66
25.84,2019-11-08T15:05:00.000Z,25.84,25.59,25.59
25.84,2019-11-08T15:10:00.000Z,25.84,25.84,25.84
25.84,2019-11-08T15:15:00.000Z,25.84,25.84,25.84
25.74,2019-11-08T15:20:00.000Z,25.84,25.69,25.84
25.93,2019-11-08T15:25:00.000Z,25.93,25.79,25.835
26.11,2019-11-08T15:30:00.000Z,26.11,25.91,25.93
26.11,2019-11-08T15:35:00.000Z,26.11,26.11,26.11
26.11,2019-11-08T15:40:00.000Z,26.11,26.11,26.11
26.11,2019-11-08T15:45:00.000Z,26.11,26.11,26.11
26.11,2019-11-08T15:50:00.000Z,26.11,26.11,26.11
26.11,2019-11-08T15:55:00.000Z,26.11,26.11,26.11
25.99,2019-11-08T16:00:00.000Z,26.11,25.99,26.11
25.99,2019-11-08T16:05:00.000Z,25.99,25.99,25.99
25.99,2019-11-08T16:10:00.000Z,25.99,25.99,25.99
25.99,2019-11-08T16:15:00.000Z,25.99,25.99,25.99
25.99,2019-11-08T16:20:00.000Z,25.99,25.99,25.99
26.12,2019-11-08T16:25:00.000Z,26.12,25.99,25.99
26.12,2019-11-08T16:30:00.000Z,26.12,26.12,26.12
26.12,2019-11-08T16:35:00.000Z,26.12,26.12,26.12
26.12,2019-11-08T16:40:00.000Z,26.12,26.12,26.12
26.12,2019-11-08T16:45:00.000Z,26.12,26.12,26.12
26.12,2019-11-08T16:50:00.000Z,26.12,26.12,26.12
26.105,2019-11-08T16:55:00.000Z,26.12,26.105,26.12
26.105,2019-11-08T17:00:00.000Z,26.105,26.105,26.105
26.105,2019-11-08T17:05:00.000Z,26.105,26.105,26.105
26.105,2019-11-08T17:10:00.000Z,26.105,26.105,26.105
26.105,2019-11-08T17:15:00.000Z,26.105,26.105,26.105
26.105,2019-11-08T17:20:00.000Z,26.105,26.105,26.105
26.06,2019-11-08T17:25:00.000Z,26.105,26.06,26.105
26.0,2019-11-08T17:30:00.000Z,26.06,26.0,26.06
26.0,2019-11-08T17:35:00.000Z,26.0,26.0,26.0
26.0,2019-11-08T17:40:00.000Z,26.0,26.0,26.0
26.0,2019-11-08T17:45:00.000Z,26.0,26.0,26.0
26.04,2019-11-08T17:50:00.000Z,26.04,26.04,26.04
26.05,2019-11-08T17:55:00.000Z,26.05,26.05,26.05
26.05,2019-11-08T18:00:00.000Z,26.05,26.05,26.05
26.05,2019-11-08T18:05:00.000Z,26.05,26.05,26.05
26.05,2019-11-08T18:10:00.000Z,26.05,26.05,26.05
26.16,2019-11-08T18:15:00.000Z,26.19,26.05,26.05
26.16,2019-11-08T18:20:00.000Z,26.16,26.16,26.16
26.16,2019-11-08T18:25:00.000Z,26.16,26.16,26.16
26.16,2019-11-08T18:30:00.000Z,26.16,26.16,26.16
26.16,2019-11-08T18:35:00.000Z,26.16,26.16,26.16
26.16,2019-11-08T18:40:00.000Z,26.16,26.16,26.16
26.16,2019-11-08T18:45:00.000Z,26.16,26.16,26.16
26.16,2019-11-08T18:50:00.000Z,26.16,26.16,26.16
26.53,2019-11-08T18:55:00.000Z,26.53,26.16,26.16
26.58,2019-11-08T19:00:00.000Z,26.58,26.53,26.53
26.6,2019-11-08T19:05:00.000Z,26.6,26.58,26.58
26.6,2019-11-08T19:10:00.000Z,26.6,26.6,26.6
26.6,2019-11-08T19:15:00.000Z,26.6,26.6,26.6
26.6,2019-11-08T19:20:00.000Z,26.6,26.6,26.6
26.6,2019-11-08T19:25:00.000Z,26.6,26.6,26.6
26.6,2019-11-08T19:30:00.000Z,26.6,26.6,26.6
26.52,2019-11-08T19:35:00.000Z,26.6,26.52,26.6
26.585,2019-11-08T19:40:00.000Z,26.645,26.52,26.52
26.54,2019-11-08T19:45:00.000Z,26.585,26.54,26.585
26.54,2019-11-08T19:50:00.000Z,26.54,26.54,26.54
26.54,2019-11-08T19:55:00.000Z,26.54,26.54,26.54
26.54,2019-11-08T20:00:00.000Z,26.54,26.54,26.54
26.54,2019-11-08T20:05:00.000Z,26.54,26.54,26.54
26.52,2019-11-08T20:10:00.000Z,26.54,26.52,26.54
