_id;title;published_at;timestamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b70d;Hopes ride high on Gileads <b>remdesivir</b> as breakthrough Coronavirus drug;2020-03-24T07:15:07;"2020-03-23 09:56:50,216 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b70c;<b>Remdesivir</b> could be promising drug candidate to treat coronavirus;2020-03-25T14:41:54;"2020-03-23 20:41:09,253 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b70b;Gilead to withdraw Orphan Drug tag for <b>remdesivir</b>  shares down 3%;2020-03-25T17:24:29;"2020-03-27 23:38:53,531 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b70a;Gilead's <b>Remdesivir</b> Can Be A Game Changer;2020-03-25T19:33:07;"2020-03-27 23:38:53,531 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b709;What The First 12 U.S. COVID-19 Patients Tell Us About <b>Remdesivir</b> (NASDAQ:GILD);2020-03-25T21:24:22;"2020-03-30 05:46:16,195 ; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b708;Gilead's <b>Remdesivir</b> Trials Are A Complete Gamble;2020-03-27T14:02:15;"2020-04-02 13:07:12,163 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b707;Malaysia chosen to test <b>Remdesivir</b> medicine to treat Covid-19 patients;2020-03-27T16:21:42;"2020-04-06 09:11:47,424 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b706;Experimental coronavirus treatment using antiviral <b>remdesivir</b> expanded by developer Gilead;2020-03-30T12:25:38;"2020-04-06 13:17:11,411 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b705;Coronavirus pandemic| Under pressure  Gilead says will try to make <b>remdesivir</b> affordable;2020-03-31T02:33:54;"2020-04-07 16:12:32,522 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed52d1ce1048f0a0b704;Gilead Sciences launches two <b>remdesivir</b> studies in UK (NASDAQ:GILD);2020-04-01T11:57:08;"2020-04-09 15:53:28,905 ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
