close,date,high,low,open
1.825,2019-11-18T17:15:00.000Z,1.825,1.815,1.815
1.825,2019-11-18T17:20:00.000Z,1.825,1.825,1.825
1.835,2019-11-18T17:25:00.000Z,1.835,1.825,1.825
1.875,2019-11-18T17:30:00.000Z,1.885,1.845,1.845
1.845,2019-11-18T17:35:00.000Z,1.875,1.845,1.875
1.825,2019-11-18T17:40:00.000Z,1.845,1.815,1.845
1.825,2019-11-18T17:45:00.000Z,1.825,1.825,1.825
1.825,2019-11-18T17:50:00.000Z,1.825,1.825,1.825
1.825,2019-11-18T17:55:00.000Z,1.825,1.82,1.825
1.815,2019-11-18T18:00:00.000Z,1.825,1.815,1.825
1.815,2019-11-18T18:05:00.000Z,1.815,1.81,1.815
1.805,2019-11-18T18:10:00.000Z,1.815,1.8,1.815
1.805,2019-11-18T18:15:00.000Z,1.805,1.805,1.805
1.805,2019-11-18T18:20:00.000Z,1.805,1.805,1.805
1.805,2019-11-18T18:25:00.000Z,1.805,1.805,1.805
1.805,2019-11-18T18:30:00.000Z,1.805,1.8,1.805
1.795,2019-11-18T18:35:00.000Z,1.815,1.795,1.805
1.795,2019-11-18T18:40:00.000Z,1.795,1.795,1.795
1.795,2019-11-18T18:45:00.000Z,1.795,1.785,1.795
1.775,2019-11-18T18:50:00.000Z,1.795,1.775,1.795
1.765,2019-11-18T18:55:00.000Z,1.775,1.765,1.775
1.765,2019-11-18T19:00:00.000Z,1.77,1.765,1.765
1.765,2019-11-18T19:05:00.000Z,1.765,1.755,1.765
1.745,2019-11-18T19:10:00.000Z,1.765,1.745,1.765
1.735,2019-11-18T19:15:00.000Z,1.745,1.735,1.745
1.735,2019-11-18T19:20:00.000Z,1.735,1.735,1.735
1.735,2019-11-18T19:25:00.000Z,1.74,1.735,1.735
1.73,2019-11-18T19:30:00.000Z,1.735,1.725,1.735
1.725,2019-11-18T19:35:00.000Z,1.73,1.725,1.73
1.725,2019-11-18T19:40:00.000Z,1.725,1.725,1.725
1.735,2019-11-18T19:45:00.000Z,1.735,1.725,1.725
1.735,2019-11-18T19:50:00.000Z,1.74,1.735,1.735
1.735,2019-11-18T19:55:00.000Z,1.74,1.735,1.735
1.735,2019-11-18T20:00:00.000Z,1.74,1.735,1.74
1.735,2019-11-18T20:05:00.000Z,1.735,1.735,1.735
1.735,2019-11-18T20:10:00.000Z,1.74,1.735,1.735
1.735,2019-11-18T20:15:00.000Z,1.735,1.73,1.735
1.735,2019-11-18T20:20:00.000Z,1.735,1.735,1.735
1.735,2019-11-18T20:25:00.000Z,1.735,1.735,1.735
1.725,2019-11-18T20:30:00.000Z,1.735,1.725,1.735
1.715,2019-11-18T20:35:00.000Z,1.73,1.715,1.725
1.715,2019-11-18T20:40:00.000Z,1.715,1.715,1.715
