close,date,high,low,open
36.635,2019-11-07T17:10:00.000Z,36.67,36.635,36.67
36.625,2019-11-07T17:15:00.000Z,36.635,36.62,36.635
36.64,2019-11-07T17:20:00.000Z,36.655,36.625,36.625
36.645,2019-11-07T17:25:00.000Z,36.645,36.63,36.64
36.655,2019-11-07T17:30:00.000Z,36.655,36.63,36.64
36.675,2019-11-07T17:35:00.000Z,36.675,36.645,36.655
36.675,2019-11-07T17:40:00.000Z,36.685,36.67,36.67
36.645,2019-11-07T17:45:00.000Z,36.665,36.64,36.665
36.635,2019-11-07T17:50:00.000Z,36.645,36.63,36.64
36.66,2019-11-07T17:55:00.000Z,36.66,36.635,36.635
36.655,2019-11-07T18:00:00.000Z,36.67,36.645,36.655
36.66,2019-11-07T18:05:00.000Z,36.665,36.655,36.655
36.67,2019-11-07T18:10:00.000Z,36.67,36.655,36.655
36.7,2019-11-07T18:15:00.000Z,36.705,36.67,36.67
36.705,2019-11-07T18:20:00.000Z,36.715,36.705,36.715
36.75,2019-11-07T18:25:00.000Z,36.755,36.705,36.705
36.735,2019-11-07T18:30:00.000Z,36.755,36.735,36.755
36.715,2019-11-07T18:35:00.000Z,36.735,36.705,36.735
36.695,2019-11-07T18:40:00.000Z,36.715,36.695,36.715
36.665,2019-11-07T18:45:00.000Z,36.695,36.665,36.695
36.665,2019-11-07T18:50:00.000Z,36.675,36.665,36.665
36.665,2019-11-07T18:55:00.000Z,36.675,36.665,36.675
36.675,2019-11-07T19:00:00.000Z,36.675,36.665,36.665
36.65,2019-11-07T19:05:00.000Z,36.665,36.65,36.665
36.655,2019-11-07T19:10:00.000Z,36.655,36.64,36.655
36.65,2019-11-07T19:15:00.000Z,36.655,36.645,36.655
36.68,2019-11-07T19:20:00.000Z,36.68,36.63,36.65
36.685,2019-11-07T19:25:00.000Z,36.69,36.67,36.69
36.675,2019-11-07T19:30:00.000Z,36.705,36.675,36.68
36.625,2019-11-07T19:35:00.000Z,36.675,36.625,36.675
36.64,2019-11-07T19:40:00.000Z,36.65,36.615,36.625
36.655,2019-11-07T19:45:00.000Z,36.675,36.64,36.64
36.64,2019-11-07T19:50:00.000Z,36.655,36.64,36.655
36.615,2019-11-07T19:55:00.000Z,36.635,36.615,36.635
36.615,2019-11-07T20:00:00.000Z,36.63,36.615,36.62
36.6,2019-11-07T20:05:00.000Z,36.625,36.6,36.615
