close,date,high,low,open
64.265,2019-11-07T17:15:00.000Z,64.295,64.225,64.255
64.2,2019-11-07T17:20:00.000Z,64.265,64.2,64.26
64.34,2019-11-07T17:25:00.000Z,64.34,64.2,64.2
64.285,2019-11-07T17:30:00.000Z,64.33,64.265,64.31
64.275,2019-11-07T17:35:00.000Z,64.29,64.245,64.29
64.25,2019-11-07T17:40:00.000Z,64.28,64.21,64.27
64.315,2019-11-07T17:45:00.000Z,64.325,64.26,64.26
64.46,2019-11-07T17:50:00.000Z,64.47,64.31,64.32
64.355,2019-11-07T17:55:00.000Z,64.435,64.355,64.435
64.39,2019-11-07T18:00:00.000Z,64.39,64.315,64.33
64.305,2019-11-07T18:05:00.000Z,64.395,64.29,64.395
64.29,2019-11-07T18:10:00.000Z,64.325,64.29,64.305
64.25,2019-11-07T18:15:00.000Z,64.285,64.205,64.285
64.285,2019-11-07T18:20:00.000Z,64.295,64.24,64.25
64.24,2019-11-07T18:25:00.000Z,64.285,64.24,64.285
64.25,2019-11-07T18:30:00.000Z,64.28,64.23,64.28
64.22,2019-11-07T18:35:00.000Z,64.24,64.18,64.24
64.17,2019-11-07T18:40:00.000Z,64.22,64.165,64.215
64.13,2019-11-07T18:45:00.000Z,64.18,64.13,64.17
64.195,2019-11-07T18:50:00.000Z,64.215,64.145,64.145
64.115,2019-11-07T18:55:00.000Z,64.205,64.115,64.205
64.17,2019-11-07T19:00:00.000Z,64.175,64.1,64.12
64.065,2019-11-07T19:05:00.000Z,64.14,64.065,64.135
64.11,2019-11-07T19:10:00.000Z,64.11,64.055,64.055
64.06,2019-11-07T19:15:00.000Z,64.125,64.055,64.115
63.99,2019-11-07T19:20:00.000Z,64.06,63.985,64.06
63.925,2019-11-07T19:25:00.000Z,64.02,63.925,63.985
64.05,2019-11-07T19:30:00.000Z,64.06,63.92,63.92
64.075,2019-11-07T19:35:00.000Z,64.075,64.035,64.035
64.04,2019-11-07T19:40:00.000Z,64.085,63.965,64.085
63.995,2019-11-07T19:45:00.000Z,64.04,63.995,64.04
63.97,2019-11-07T19:50:00.000Z,64.035,63.96,63.99
63.945,2019-11-07T19:55:00.000Z,63.97,63.935,63.965
63.925,2019-11-07T20:00:00.000Z,63.945,63.89,63.945
63.915,2019-11-07T20:05:00.000Z,63.94,63.89,63.935
63.935,2019-11-07T20:10:00.000Z,63.98,63.91,63.925
63.87,2019-11-07T20:15:00.000Z,63.93,63.86,63.93
63.9,2019-11-07T20:20:00.000Z,63.915,63.81,63.875
63.885,2019-11-07T20:25:00.000Z,63.9,63.865,63.885
63.895,2019-11-07T20:30:00.000Z,63.9,63.88,63.88
63.82,2019-11-07T20:35:00.000Z,63.895,63.805,63.89
63.84,2019-11-07T20:40:00.000Z,63.88,63.805,63.815
63.96,2019-11-07T20:45:00.000Z,63.96,63.84,63.84
63.865,2019-11-07T20:50:00.000Z,64.05,63.835,63.96
