close,date,high,low,open
45.735,2019-11-07T17:10:00.000Z,45.74,45.705,45.73
45.79,2019-11-07T17:15:00.000Z,45.805,45.735,45.745
45.785,2019-11-07T17:20:00.000Z,45.805,45.785,45.785
45.825,2019-11-07T17:25:00.000Z,45.825,45.765,45.785
45.81,2019-11-07T17:30:00.000Z,45.82,45.795,45.82
45.82,2019-11-07T17:35:00.000Z,45.84,45.8,45.815
45.89,2019-11-07T17:40:00.000Z,45.915,45.83,45.835
45.88,2019-11-07T17:45:00.000Z,45.9,45.855,45.87
45.88,2019-11-07T17:50:00.000Z,45.88,45.845,45.86
45.88,2019-11-07T17:55:00.000Z,45.9,45.875,45.88
45.885,2019-11-07T18:00:00.000Z,45.905,45.87,45.885
45.91,2019-11-07T18:05:00.000Z,45.92,45.88,45.89
45.915,2019-11-07T18:10:00.000Z,45.925,45.89,45.915
45.895,2019-11-07T18:15:00.000Z,45.915,45.89,45.9
45.885,2019-11-07T18:20:00.000Z,45.905,45.885,45.895
45.895,2019-11-07T18:25:00.000Z,45.94,45.895,45.895
45.87,2019-11-07T18:30:00.000Z,45.895,45.825,45.895
45.885,2019-11-07T18:35:00.000Z,45.895,45.85,45.86
45.865,2019-11-07T18:40:00.000Z,45.885,45.855,45.885
45.815,2019-11-07T18:45:00.000Z,45.865,45.81,45.865
45.835,2019-11-07T18:50:00.000Z,45.86,45.805,45.805
45.82,2019-11-07T18:55:00.000Z,45.875,45.82,45.865
45.855,2019-11-07T19:00:00.000Z,45.87,45.825,45.835
45.86,2019-11-07T19:05:00.000Z,45.865,45.845,45.85
45.875,2019-11-07T19:10:00.000Z,45.88,45.83,45.86
45.835,2019-11-07T19:15:00.000Z,45.875,45.835,45.87
45.725,2019-11-07T19:20:00.000Z,45.855,45.665,45.855
45.73,2019-11-07T19:25:00.000Z,45.73,45.635,45.715
45.77,2019-11-07T19:30:00.000Z,45.79,45.71,45.72
45.68,2019-11-07T19:35:00.000Z,45.785,45.655,45.775
45.71,2019-11-07T19:40:00.000Z,45.745,45.665,45.695
45.84,2019-11-07T19:45:00.000Z,45.86,45.705,45.705
45.805,2019-11-07T19:50:00.000Z,45.84,45.79,45.825
45.835,2019-11-07T19:55:00.000Z,45.84,45.81,45.815
45.825,2019-11-07T20:00:00.000Z,45.855,45.805,45.83
45.845,2019-11-07T20:05:00.000Z,45.85,45.82,45.83
45.84,2019-11-07T20:10:00.000Z,45.855,45.825,45.845
45.875,2019-11-07T20:15:00.000Z,45.885,45.835,45.845
45.865,2019-11-07T20:20:00.000Z,45.895,45.865,45.87
45.87,2019-11-07T20:25:00.000Z,45.89,45.84,45.87
45.935,2019-11-07T20:30:00.000Z,45.945,45.87,45.87
45.885,2019-11-07T20:35:00.000Z,45.935,45.87,45.935
45.835,2019-11-07T20:40:00.000Z,45.89,45.82,45.885
45.94,2019-11-07T20:45:00.000Z,45.94,45.825,45.84
45.95,2019-11-07T20:50:00.000Z,45.965,45.92,45.955
45.955,2019-11-07T20:55:00.000Z,45.975,45.925,45.95
45.955,2019-11-07T21:00:00.000Z,45.955,45.955,45.955
45.8,2019-11-08T14:30:00.000Z,45.875,45.79,45.84
45.73,2019-11-08T14:35:00.000Z,45.775,45.72,45.775
45.785,2019-11-08T14:40:00.000Z,45.785,45.72,45.73
45.845,2019-11-08T14:45:00.000Z,45.845,45.77,45.785
45.88,2019-11-08T14:50:00.000Z,45.88,45.84,45.845
45.81,2019-11-08T14:55:00.000Z,45.86,45.79,45.86
45.83,2019-11-08T15:00:00.000Z,45.83,45.775,45.775
45.705,2019-11-08T15:05:00.000Z,45.865,45.67,45.845
45.835,2019-11-08T15:10:00.000Z,45.835,45.705,45.705
45.8,2019-11-08T15:15:00.000Z,45.84,45.8,45.84
45.76,2019-11-08T15:20:00.000Z,45.8,45.725,45.8
45.82,2019-11-08T15:25:00.000Z,45.835,45.76,45.76
45.775,2019-11-08T15:30:00.000Z,45.825,45.755,45.825
45.805,2019-11-08T15:35:00.000Z,45.805,45.78,45.78
45.805,2019-11-08T15:40:00.000Z,45.805,45.785,45.805
45.84,2019-11-08T15:45:00.000Z,45.84,45.795,45.795
45.885,2019-11-08T15:50:00.000Z,45.885,45.83,45.84
45.885,2019-11-08T15:55:00.000Z,45.885,45.86,45.86
45.875,2019-11-08T16:00:00.000Z,45.885,45.875,45.885
45.905,2019-11-08T16:05:00.000Z,45.92,45.86,45.86
45.895,2019-11-08T16:10:00.000Z,45.905,45.87,45.905
45.9,2019-11-08T16:15:00.000Z,45.915,45.875,45.915
45.89,2019-11-08T16:20:00.000Z,45.9,45.885,45.9
45.985,2019-11-08T16:25:00.000Z,46.0,45.875,45.89
46.04,2019-11-08T16:30:00.000Z,46.04,46.015,46.02
46.095,2019-11-08T16:35:00.000Z,46.095,46.04,46.04
46.105,2019-11-08T16:40:00.000Z,46.105,46.095,46.095
46.145,2019-11-08T16:45:00.000Z,46.145,46.105,46.105
46.08,2019-11-08T16:50:00.000Z,46.15,46.08,46.135
46.06,2019-11-08T16:55:00.000Z,46.095,46.05,46.095
46.09,2019-11-08T17:00:00.000Z,46.09,46.06,46.06
46.01,2019-11-08T17:05:00.000Z,46.065,46.01,46.065
46.09,2019-11-08T17:10:00.000Z,46.095,46.005,46.005
46.145,2019-11-08T17:15:00.000Z,46.145,46.085,46.085
46.115,2019-11-08T17:20:00.000Z,46.155,46.11,46.155
46.1,2019-11-08T17:25:00.000Z,46.115,46.085,46.115
46.125,2019-11-08T17:30:00.000Z,46.125,46.095,46.1
46.115,2019-11-08T17:35:00.000Z,46.125,46.105,46.125
46.125,2019-11-08T17:40:00.000Z,46.125,46.08,46.115
46.15,2019-11-08T17:45:00.000Z,46.165,46.125,46.125
46.17,2019-11-08T17:50:00.000Z,46.185,46.145,46.145
46.185,2019-11-08T17:55:00.000Z,46.185,46.165,46.175
46.335,2019-11-08T18:00:00.000Z,46.35,46.19,46.19
46.255,2019-11-08T18:05:00.000Z,46.345,46.24,46.335
46.23,2019-11-08T18:10:00.000Z,46.255,46.185,46.245
46.235,2019-11-08T18:15:00.000Z,46.255,46.215,46.215
46.24,2019-11-08T18:20:00.000Z,46.24,46.22,46.22
46.235,2019-11-08T18:25:00.000Z,46.235,46.22,46.23
46.175,2019-11-08T18:30:00.000Z,46.225,46.17,46.225
46.165,2019-11-08T18:35:00.000Z,46.19,46.16,46.175
46.195,2019-11-08T18:40:00.000Z,46.195,46.15,46.165
46.215,2019-11-08T18:45:00.000Z,46.215,46.195,46.195
46.205,2019-11-08T18:50:00.000Z,46.215,46.18,46.215
46.2,2019-11-08T18:55:00.000Z,46.225,46.19,46.2
46.125,2019-11-08T19:00:00.000Z,46.2,46.125,46.2
46.095,2019-11-08T19:05:00.000Z,46.135,46.095,46.135
46.13,2019-11-08T19:10:00.000Z,46.13,46.095,46.095
46.165,2019-11-08T19:15:00.000Z,46.165,46.14,46.14
46.175,2019-11-08T19:20:00.000Z,46.195,46.165,46.165
46.185,2019-11-08T19:25:00.000Z,46.195,46.155,46.175
46.225,2019-11-08T19:30:00.000Z,46.235,46.19,46.19
46.245,2019-11-08T19:35:00.000Z,46.245,46.23,46.23
46.265,2019-11-08T19:40:00.000Z,46.265,46.245,46.245
46.245,2019-11-08T19:45:00.000Z,46.265,46.23,46.26
46.205,2019-11-08T19:50:00.000Z,46.245,46.195,46.23
46.195,2019-11-08T19:55:00.000Z,46.215,46.17,46.2
46.225,2019-11-08T20:00:00.000Z,46.225,46.185,46.185
46.225,2019-11-08T20:05:00.000Z,46.235,46.2,46.22
46.26,2019-11-08T20:10:00.000Z,46.265,46.225,46.225
46.26,2019-11-08T20:15:00.000Z,46.26,46.235,46.26
46.255,2019-11-08T20:20:00.000Z,46.275,46.245,46.245
46.245,2019-11-08T20:25:00.000Z,46.255,46.245,46.255
46.24,2019-11-08T20:30:00.000Z,46.255,46.235,46.24
46.26,2019-11-08T20:35:00.000Z,46.275,46.245,46.245
46.27,2019-11-08T20:40:00.000Z,46.27,46.255,46.26
46.275,2019-11-08T20:45:00.000Z,46.275,46.255,46.265
46.385,2019-11-08T20:50:00.000Z,46.39,46.295,46.3
46.405,2019-11-08T20:55:00.000Z,46.41,46.365,46.375
46.405,2019-11-08T21:00:00.000Z,46.405,46.405,46.405
46.135,2019-11-11T14:30:00.000Z,46.305,46.11,46.305
46.24,2019-11-11T14:35:00.000Z,46.26,46.135,46.135
46.21,2019-11-11T14:40:00.000Z,46.315,46.195,46.22
46.185,2019-11-11T14:45:00.000Z,46.185,46.165,46.165
46.255,2019-11-11T14:50:00.000Z,46.275,46.17,46.195
46.285,2019-11-11T14:55:00.000Z,46.315,46.225,46.275
46.29,2019-11-11T15:00:00.000Z,46.295,46.245,46.245
46.31,2019-11-11T15:05:00.000Z,46.34,46.29,46.29
46.27,2019-11-11T15:10:00.000Z,46.3,46.25,46.28
46.355,2019-11-11T15:15:00.000Z,46.365,46.305,46.305
46.34,2019-11-11T15:20:00.000Z,46.4,46.335,46.355
46.31,2019-11-11T15:25:00.000Z,46.335,46.3,46.33
46.36,2019-11-11T15:30:00.000Z,46.37,46.29,46.31
46.345,2019-11-11T15:35:00.000Z,46.355,46.325,46.34
46.36,2019-11-11T15:40:00.000Z,46.36,46.33,46.34
46.4,2019-11-11T15:45:00.000Z,46.425,46.345,46.355
46.35,2019-11-11T15:50:00.000Z,46.4,46.35,46.4
46.305,2019-11-11T15:55:00.000Z,46.36,46.285,46.355
46.36,2019-11-11T16:00:00.000Z,46.375,46.305,46.305
46.395,2019-11-11T16:05:00.000Z,46.395,46.325,46.355
46.445,2019-11-11T16:10:00.000Z,46.455,46.395,46.395
46.425,2019-11-11T16:15:00.000Z,46.485,46.425,46.48
46.425,2019-11-11T16:20:00.000Z,46.435,46.415,46.415
46.37,2019-11-11T16:25:00.000Z,46.43,46.365,46.43
46.425,2019-11-11T16:30:00.000Z,46.425,46.38,46.38
46.41,2019-11-11T16:35:00.000Z,46.43,46.39,46.42
46.44,2019-11-11T16:40:00.000Z,46.455,46.4,46.4
46.445,2019-11-11T16:45:00.000Z,46.445,46.43,46.43
46.42,2019-11-11T16:50:00.000Z,46.44,46.41,46.44
46.415,2019-11-11T16:55:00.000Z,46.42,46.415,46.42
46.38,2019-11-11T17:00:00.000Z,46.41,46.375,46.41
46.405,2019-11-11T17:05:00.000Z,46.43,46.39,46.39
46.385,2019-11-11T17:10:00.000Z,46.405,46.375,46.405
46.38,2019-11-11T17:15:00.000Z,46.395,46.375,46.385
46.36,2019-11-11T17:20:00.000Z,46.38,46.36,46.38
46.37,2019-11-11T17:25:00.000Z,46.37,46.36,46.36
46.435,2019-11-11T17:30:00.000Z,46.435,46.38,46.38
46.425,2019-11-11T17:35:00.000Z,46.425,46.425,46.425
46.42,2019-11-11T17:40:00.000Z,46.455,46.42,46.425
46.425,2019-11-11T17:45:00.000Z,46.425,46.395,46.42
46.42,2019-11-11T17:50:00.000Z,46.425,46.415,46.425
46.4,2019-11-11T17:55:00.000Z,46.425,46.4,46.425
46.405,2019-11-11T18:00:00.000Z,46.405,46.365,46.405
46.43,2019-11-11T18:05:00.000Z,46.475,46.43,46.455
46.41,2019-11-11T18:10:00.000Z,46.415,46.405,46.405
46.385,2019-11-11T18:15:00.000Z,46.41,46.35,46.41
46.415,2019-11-11T18:20:00.000Z,46.415,46.385,46.385
46.41,2019-11-11T18:25:00.000Z,46.415,46.41,46.41
46.475,2019-11-11T18:30:00.000Z,46.475,46.41,46.41
46.48,2019-11-11T18:35:00.000Z,46.495,46.475,46.485
46.525,2019-11-11T18:40:00.000Z,46.53,46.47,46.48
46.53,2019-11-11T18:45:00.000Z,46.54,46.52,46.525
46.515,2019-11-11T18:50:00.000Z,46.535,46.515,46.53
46.515,2019-11-11T18:55:00.000Z,46.53,46.5,46.525
46.545,2019-11-11T19:00:00.000Z,46.545,46.505,46.515
46.48,2019-11-11T19:05:00.000Z,46.545,46.465,46.545
46.505,2019-11-11T19:10:00.000Z,46.515,46.475,46.48
