close,date,high,low,open
83.145,2019-11-07T17:10:00.000Z,83.225,83.145,83.225
83.095,2019-11-07T17:15:00.000Z,83.12,83.085,83.115
83.115,2019-11-07T17:20:00.000Z,83.135,83.075,83.095
83.11,2019-11-07T17:25:00.000Z,83.115,83.09,83.115
83.195,2019-11-07T17:30:00.000Z,83.205,83.11,83.11
83.17,2019-11-07T17:35:00.000Z,83.22,83.16,83.2
83.205,2019-11-07T17:40:00.000Z,83.22,83.11,83.135
83.28,2019-11-07T17:45:00.000Z,83.29,83.205,83.205
83.29,2019-11-07T17:50:00.000Z,83.305,83.275,83.275
83.315,2019-11-07T17:55:00.000Z,83.315,83.285,83.29
83.38,2019-11-07T18:00:00.000Z,83.4,83.325,83.325
83.34,2019-11-07T18:05:00.000Z,83.38,83.32,83.38
83.135,2019-11-07T18:10:00.000Z,83.345,83.135,83.345
83.03,2019-11-07T18:15:00.000Z,83.135,82.97,83.135
83.115,2019-11-07T18:20:00.000Z,83.12,83.015,83.03
83.155,2019-11-07T18:25:00.000Z,83.155,83.07,83.115
83.12,2019-11-07T18:30:00.000Z,83.225,83.12,83.17
83.055,2019-11-07T18:35:00.000Z,83.135,83.0,83.135
83.02,2019-11-07T18:40:00.000Z,83.085,83.015,83.055
83.075,2019-11-07T18:45:00.000Z,83.11,83.02,83.03
83.005,2019-11-07T18:50:00.000Z,83.075,83.005,83.075
82.975,2019-11-07T18:55:00.000Z,83.025,82.975,83.015
82.99,2019-11-07T19:00:00.000Z,83.02,82.965,82.965
82.92,2019-11-07T19:05:00.000Z,82.985,82.92,82.96
82.965,2019-11-07T19:10:00.000Z,83.0,82.965,82.97
82.995,2019-11-07T19:15:00.000Z,83.0,82.95,82.95
82.84,2019-11-07T19:20:00.000Z,83.0,82.84,82.995
82.9,2019-11-07T19:25:00.000Z,82.93,82.9,82.92
82.97,2019-11-07T19:30:00.000Z,83.02,82.91,82.915
82.99,2019-11-07T19:35:00.000Z,83.01,82.97,82.97
82.81,2019-11-07T19:40:00.000Z,82.99,82.8,82.99
82.865,2019-11-07T19:45:00.000Z,82.915,82.865,82.915
82.905,2019-11-07T19:50:00.000Z,82.935,82.835,82.865
82.86,2019-11-07T19:55:00.000Z,82.89,82.855,82.855
82.88,2019-11-07T20:00:00.000Z,82.89,82.825,82.86
82.895,2019-11-07T20:05:00.000Z,82.905,82.865,82.87
82.875,2019-11-07T20:10:00.000Z,82.91,82.86,82.875
82.82,2019-11-07T20:15:00.000Z,82.885,82.82,82.885
82.79,2019-11-07T20:20:00.000Z,82.83,82.755,82.83
82.795,2019-11-07T20:25:00.000Z,82.815,82.785,82.79
82.805,2019-11-07T20:30:00.000Z,82.82,82.795,82.795
82.75,2019-11-07T20:35:00.000Z,82.805,82.715,82.805
82.68,2019-11-07T20:40:00.000Z,82.76,82.675,82.745
82.775,2019-11-07T20:45:00.000Z,82.8,82.69,82.69
82.78,2019-11-07T20:50:00.000Z,82.81,82.725,82.775
82.865,2019-11-07T20:55:00.000Z,82.865,82.76,82.795
82.865,2019-11-07T21:00:00.000Z,82.865,82.865,82.865
83.12,2019-11-08T14:30:00.000Z,83.13,82.84,82.91
83.29,2019-11-08T14:35:00.000Z,83.335,83.08,83.15
83.355,2019-11-08T14:40:00.000Z,83.355,83.205,83.21
83.35,2019-11-08T14:45:00.000Z,83.415,83.31,83.36
83.285,2019-11-08T14:50:00.000Z,83.35,83.18,83.34
83.29,2019-11-08T14:55:00.000Z,83.365,83.21,83.28
83.485,2019-11-08T15:00:00.000Z,83.485,83.26,83.26
83.325,2019-11-08T15:05:00.000Z,83.485,83.32,83.485
83.14,2019-11-08T15:10:00.000Z,83.35,83.14,83.34
83.4,2019-11-08T15:15:00.000Z,83.4,83.185,83.19
83.405,2019-11-08T15:20:00.000Z,83.455,83.37,83.42
83.365,2019-11-08T15:25:00.000Z,83.38,83.305,83.34
83.475,2019-11-08T15:30:00.000Z,83.51,83.375,83.385
83.495,2019-11-08T15:35:00.000Z,83.495,83.38,83.46
83.6,2019-11-08T15:40:00.000Z,83.66,83.565,83.565
83.605,2019-11-08T15:45:00.000Z,83.63,83.5,83.58
83.665,2019-11-08T15:50:00.000Z,83.665,83.575,83.595
83.7,2019-11-08T15:55:00.000Z,83.71,83.64,83.66
83.59,2019-11-08T16:00:00.000Z,83.68,83.59,83.68
83.54,2019-11-08T16:05:00.000Z,83.61,83.49,83.58
83.59,2019-11-08T16:10:00.000Z,83.625,83.545,83.545
83.47,2019-11-08T16:15:00.000Z,83.59,83.47,83.585
83.375,2019-11-08T16:20:00.000Z,83.47,83.355,83.47
83.325,2019-11-08T16:25:00.000Z,83.365,83.28,83.34
83.385,2019-11-08T16:30:00.000Z,83.415,83.315,83.315
83.42,2019-11-08T16:35:00.000Z,83.44,83.4,83.4
83.345,2019-11-08T16:40:00.000Z,83.42,83.325,83.42
83.255,2019-11-08T16:45:00.000Z,83.345,83.255,83.345
83.285,2019-11-08T16:50:00.000Z,83.325,83.285,83.325
83.2,2019-11-08T16:55:00.000Z,83.285,83.175,83.285
83.285,2019-11-08T17:00:00.000Z,83.285,83.225,83.245
83.285,2019-11-08T17:05:00.000Z,83.285,83.235,83.275
83.32,2019-11-08T17:10:00.000Z,83.325,83.26,83.275
83.36,2019-11-08T17:15:00.000Z,83.36,83.3,83.31
83.43,2019-11-08T17:20:00.000Z,83.47,83.38,83.38
83.45,2019-11-08T17:25:00.000Z,83.46,83.43,83.435
83.47,2019-11-08T17:30:00.000Z,83.485,83.43,83.47
83.32,2019-11-08T17:35:00.000Z,83.45,83.305,83.45
83.205,2019-11-08T17:40:00.000Z,83.345,83.205,83.33
83.165,2019-11-08T17:45:00.000Z,83.22,83.155,83.21
83.16,2019-11-08T17:50:00.000Z,83.16,83.145,83.15
83.115,2019-11-08T17:55:00.000Z,83.22,83.11,83.21
83.215,2019-11-08T18:00:00.000Z,83.215,83.135,83.135
83.195,2019-11-08T18:05:00.000Z,83.225,83.19,83.22
83.185,2019-11-08T18:10:00.000Z,83.215,83.185,83.195
83.11,2019-11-08T18:15:00.000Z,83.17,83.11,83.165
83.115,2019-11-08T18:20:00.000Z,83.12,83.085,83.11
83.145,2019-11-08T18:25:00.000Z,83.16,83.11,83.115
83.05,2019-11-08T18:30:00.000Z,83.16,83.045,83.145
83.12,2019-11-08T18:35:00.000Z,83.13,83.045,83.045
83.115,2019-11-08T18:40:00.000Z,83.135,83.105,83.115
83.045,2019-11-08T18:45:00.000Z,83.13,83.045,83.11
83.055,2019-11-08T18:50:00.000Z,83.065,82.995,83.05
83.02,2019-11-08T18:55:00.000Z,83.07,83.02,83.055
83.07,2019-11-08T19:00:00.000Z,83.085,83.0,83.025
83.185,2019-11-08T19:05:00.000Z,83.195,83.065,83.09
83.13,2019-11-08T19:10:00.000Z,83.235,83.13,83.195
83.11,2019-11-08T19:15:00.000Z,83.145,83.105,83.145
83.08,2019-11-08T19:20:00.000Z,83.135,83.075,83.135
83.06,2019-11-08T19:25:00.000Z,83.095,83.035,83.095
83.085,2019-11-08T19:30:00.000Z,83.09,83.04,83.045
83.065,2019-11-08T19:35:00.000Z,83.085,83.045,83.085
83.12,2019-11-08T19:40:00.000Z,83.125,83.055,83.065
83.1,2019-11-08T19:45:00.000Z,83.125,83.1,83.115
83.165,2019-11-08T19:50:00.000Z,83.17,83.1,83.105
83.305,2019-11-08T19:55:00.000Z,83.305,83.165,83.165
83.385,2019-11-08T20:00:00.000Z,83.395,83.305,83.305
83.415,2019-11-08T20:05:00.000Z,83.42,83.375,83.395
83.45,2019-11-08T20:10:00.000Z,83.45,83.4,83.41
83.415,2019-11-08T20:15:00.000Z,83.47,83.415,83.45
83.47,2019-11-08T20:20:00.000Z,83.51,83.415,83.415
83.455,2019-11-08T20:25:00.000Z,83.485,83.45,83.485
83.46,2019-11-08T20:30:00.000Z,83.49,83.45,83.46
83.52,2019-11-08T20:35:00.000Z,83.55,83.47,83.47
83.485,2019-11-08T20:40:00.000Z,83.545,83.485,83.525
83.525,2019-11-08T20:45:00.000Z,83.565,83.475,83.49
83.34,2019-11-08T20:50:00.000Z,83.55,83.33,83.525
83.59,2019-11-08T20:55:00.000Z,83.59,83.34,83.345
83.59,2019-11-08T21:00:00.000Z,83.59,83.59,83.59
83.175,2019-11-11T14:30:00.000Z,83.59,83.11,83.59
83.155,2019-11-11T14:35:00.000Z,83.175,83.025,83.175
83.26,2019-11-11T14:40:00.000Z,83.26,83.155,83.155
83.42,2019-11-11T14:45:00.000Z,83.42,83.26,83.26
83.58,2019-11-11T14:50:00.000Z,83.64,83.39,83.445
83.52,2019-11-11T14:55:00.000Z,83.58,83.52,83.58
83.38,2019-11-11T15:00:00.000Z,83.52,83.38,83.52
83.39,2019-11-11T15:05:00.000Z,83.39,83.33,83.38
83.33,2019-11-11T15:10:00.000Z,83.33,83.29,83.33
83.395,2019-11-11T15:15:00.000Z,83.425,83.315,83.325
83.3,2019-11-11T15:20:00.000Z,83.395,83.285,83.395
83.21,2019-11-11T15:25:00.000Z,83.33,83.21,83.33
83.275,2019-11-11T15:30:00.000Z,83.285,83.27,83.285
83.27,2019-11-11T15:35:00.000Z,83.29,83.25,83.275
83.24,2019-11-11T15:40:00.000Z,83.31,83.24,83.31
83.265,2019-11-11T15:45:00.000Z,83.295,83.24,83.24
83.25,2019-11-11T15:50:00.000Z,83.305,83.25,83.305
83.255,2019-11-11T15:55:00.000Z,83.305,83.225,83.25
83.295,2019-11-11T16:00:00.000Z,83.305,83.245,83.245
83.245,2019-11-11T16:05:00.000Z,83.305,83.22,83.305
83.25,2019-11-11T16:10:00.000Z,83.25,83.23,83.24
83.25,2019-11-11T16:15:00.000Z,83.265,83.25,83.265
83.18,2019-11-11T16:20:00.000Z,83.24,83.18,83.24
83.1,2019-11-11T16:25:00.000Z,83.135,83.1,83.125
83.08,2019-11-11T16:30:00.000Z,83.125,83.055,83.055
83.085,2019-11-11T16:35:00.000Z,83.085,83.055,83.055
83.07,2019-11-11T16:40:00.000Z,83.08,83.07,83.07
83.015,2019-11-11T16:45:00.000Z,83.07,83.015,83.07
83.05,2019-11-11T16:50:00.000Z,83.11,83.015,83.015
83.05,2019-11-11T16:55:00.000Z,83.05,83.01,83.015
83.04,2019-11-11T17:00:00.000Z,83.11,83.04,83.11
83.02,2019-11-11T17:05:00.000Z,83.025,83.01,83.025
83.015,2019-11-11T17:10:00.000Z,83.02,83.01,83.02
83.015,2019-11-11T17:15:00.000Z,83.015,83.015,83.015
83.0,2019-11-11T17:20:00.000Z,83.02,83.0,83.015
83.0,2019-11-11T17:25:00.000Z,83.0,83.0,83.0
83.0,2019-11-11T17:30:00.000Z,83.035,82.97,83.0
83.025,2019-11-11T17:35:00.000Z,83.025,83.005,83.005
82.995,2019-11-11T17:40:00.000Z,83.025,82.995,83.015
83.025,2019-11-11T17:45:00.000Z,83.025,82.995,82.995
83.02,2019-11-11T17:50:00.000Z,83.02,83.0,83.005
83.11,2019-11-11T17:55:00.000Z,83.125,83.07,83.08
83.1,2019-11-11T18:00:00.000Z,83.11,83.1,83.11
83.05,2019-11-11T18:05:00.000Z,83.1,83.04,83.1
83.04,2019-11-11T18:10:00.000Z,83.05,83.04,83.05
83.08,2019-11-11T18:15:00.000Z,83.08,83.04,83.04
83.04,2019-11-11T18:20:00.000Z,83.075,83.04,83.07
83.07,2019-11-11T18:25:00.000Z,83.07,83.06,83.06
83.095,2019-11-11T18:30:00.000Z,83.135,83.085,83.135
83.11,2019-11-11T18:35:00.000Z,83.115,83.075,83.075
83.07,2019-11-11T18:40:00.000Z,83.12,83.07,83.12
83.06,2019-11-11T18:45:00.000Z,83.06,83.06,83.06
83.105,2019-11-11T18:50:00.000Z,83.14,83.105,83.12
83.125,2019-11-11T18:55:00.000Z,83.125,83.09,83.09
83.095,2019-11-11T19:00:00.000Z,83.125,83.09,83.125
83.125,2019-11-11T19:05:00.000Z,83.125,83.095,83.095
83.11,2019-11-11T19:10:00.000Z,83.12,83.11,83.12
83.125,2019-11-11T19:15:00.000Z,83.14,83.125,83.13
83.18,2019-11-11T19:20:00.000Z,83.18,83.155,83.155
83.145,2019-11-11T19:25:00.000Z,83.155,83.14,83.14
83.145,2019-11-11T19:30:00.000Z,83.145,83.145,83.145
83.12,2019-11-11T19:35:00.000Z,83.15,83.12,83.15
83.115,2019-11-11T19:40:00.000Z,83.12,83.115,83.12
83.075,2019-11-11T19:45:00.000Z,83.1,83.075,83.1
83.075,2019-11-11T19:50:00.000Z,83.075,83.035,83.065
83.115,2019-11-11T19:55:00.000Z,83.115,83.075,83.075
83.145,2019-11-11T20:00:00.000Z,83.155,83.11,83.115
83.125,2019-11-11T20:05:00.000Z,83.155,83.125,83.14
83.115,2019-11-11T20:10:00.000Z,83.135,83.095,83.135
83.095,2019-11-11T20:15:00.000Z,83.135,83.085,83.135
83.135,2019-11-11T20:20:00.000Z,83.135,83.085,83.085
83.155,2019-11-11T20:25:00.000Z,83.195,83.14,83.14
83.135,2019-11-11T20:30:00.000Z,83.165,83.115,83.165
83.14,2019-11-11T20:35:00.000Z,83.16,83.125,83.13
83.155,2019-11-11T20:40:00.000Z,83.165,83.135,83.165
83.19,2019-11-11T20:45:00.000Z,83.205,83.14,83.145
83.18,2019-11-11T20:50:00.000Z,83.2,83.16,83.19
83.27,2019-11-11T20:55:00.000Z,83.27,83.175,83.195
83.27,2019-11-11T21:00:00.000Z,83.27,83.27,83.27
83.93,2019-11-12T14:30:00.000Z,83.93,83.61,83.61
83.97,2019-11-12T14:35:00.000Z,83.99,83.92,83.92
83.94,2019-11-12T14:40:00.000Z,83.985,83.9,83.975
83.835,2019-11-12T14:45:00.000Z,83.92,83.835,83.92
83.915,2019-11-12T14:50:00.000Z,83.93,83.73,83.76
84.18,2019-11-12T14:55:00.000Z,84.2,83.98,83.99
84.15,2019-11-12T15:00:00.000Z,84.255,84.15,84.22
84.365,2019-11-12T15:05:00.000Z,84.41,84.15,84.15
84.48,2019-11-12T15:10:00.000Z,84.48,84.36,84.39
84.4,2019-11-12T15:15:00.000Z,84.44,84.37,84.435
84.455,2019-11-12T15:20:00.000Z,84.485,84.325,84.325
84.595,2019-11-12T15:25:00.000Z,84.595,84.455,84.455
84.62,2019-11-12T15:30:00.000Z,84.64,84.525,84.62
84.58,2019-11-12T15:35:00.000Z,84.655,84.565,84.655
84.59,2019-11-12T15:40:00.000Z,84.68,84.53,84.53
84.485,2019-11-12T15:45:00.000Z,84.62,84.475,84.59
84.69,2019-11-12T15:50:00.000Z,84.69,84.445,84.445
84.695,2019-11-12T15:55:00.000Z,84.8,84.64,84.705
84.515,2019-11-12T16:00:00.000Z,84.715,84.515,84.685
84.515,2019-11-12T16:05:00.000Z,84.515,84.4,84.49
84.345,2019-11-12T16:10:00.000Z,84.49,84.345,84.49
84.385,2019-11-12T16:15:00.000Z,84.43,84.315,84.33
84.34,2019-11-12T16:20:00.000Z,84.42,84.315,84.375
84.315,2019-11-12T16:25:00.000Z,84.355,84.3,84.345
84.44,2019-11-12T16:30:00.000Z,84.475,84.335,84.335
84.51,2019-11-12T16:35:00.000Z,84.545,84.39,84.39
84.43,2019-11-12T16:40:00.000Z,84.485,84.43,84.48
84.46,2019-11-12T16:45:00.000Z,84.49,84.37,84.38
84.465,2019-11-12T16:50:00.000Z,84.52,84.465,84.49
84.475,2019-11-12T16:55:00.000Z,84.525,84.445,84.515
84.43,2019-11-12T17:00:00.000Z,84.485,84.4,84.485
84.38,2019-11-12T17:05:00.000Z,84.43,84.38,84.41
84.455,2019-11-12T17:10:00.000Z,84.455,84.38,84.38
84.45,2019-11-12T17:15:00.000Z,84.495,84.425,84.445
84.3,2019-11-12T17:20:00.000Z,84.42,84.3,84.42
84.225,2019-11-12T17:25:00.000Z,84.26,84.22,84.26
84.305,2019-11-12T17:30:00.000Z,84.33,84.235,84.235
84.365,2019-11-12T17:35:00.000Z,84.365,84.31,84.32
84.435,2019-11-12T17:40:00.000Z,84.445,84.345,84.35
84.33,2019-11-12T17:45:00.000Z,84.46,84.33,84.455
84.37,2019-11-12T17:50:00.000Z,84.37,84.325,84.33
84.425,2019-11-12T17:55:00.000Z,84.43,84.35,84.36
84.33,2019-11-12T18:00:00.000Z,84.415,84.33,84.415
84.335,2019-11-12T18:05:00.000Z,84.36,84.325,84.335
84.34,2019-11-12T18:10:00.000Z,84.375,84.315,84.365
84.45,2019-11-12T18:15:00.000Z,84.51,84.345,84.345
84.53,2019-11-12T18:20:00.000Z,84.53,84.42,84.435
84.52,2019-11-12T18:25:00.000Z,84.59,84.505,84.545
84.47,2019-11-12T18:30:00.000Z,84.535,84.46,84.535
84.475,2019-11-12T18:35:00.000Z,84.475,84.425,84.465
84.485,2019-11-12T18:40:00.000Z,84.49,84.46,84.485
84.505,2019-11-12T18:45:00.000Z,84.505,84.465,84.475
84.55,2019-11-12T18:50:00.000Z,84.58,84.505,84.505
84.535,2019-11-12T18:55:00.000Z,84.555,84.515,84.545
84.405,2019-11-12T19:00:00.000Z,84.54,84.395,84.54
84.455,2019-11-12T19:05:00.000Z,84.47,84.38,84.395
84.365,2019-11-12T19:10:00.000Z,84.47,84.36,84.455
