close,date,high,low,open
19.115,2019-11-18T17:10:00.000Z,19.135,19.115,19.135
19.09,2019-11-18T17:15:00.000Z,19.115,19.09,19.115
19.12,2019-11-18T17:20:00.000Z,19.12,19.09,19.09
19.12,2019-11-18T17:25:00.000Z,19.12,19.11,19.12
19.18,2019-11-18T17:30:00.000Z,19.18,19.125,19.125
19.18,2019-11-18T17:35:00.000Z,19.18,19.18,19.18
19.19,2019-11-18T17:40:00.000Z,19.19,19.15,19.18
19.19,2019-11-18T17:45:00.000Z,19.19,19.19,19.19
19.19,2019-11-18T17:50:00.000Z,19.19,19.19,19.19
19.18,2019-11-18T17:55:00.000Z,19.25,19.18,19.22
19.18,2019-11-18T18:00:00.000Z,19.18,19.18,19.18
19.2,2019-11-18T18:05:00.000Z,19.23,19.2,19.23
19.2,2019-11-18T18:10:00.000Z,19.21,19.2,19.2
19.22,2019-11-18T18:15:00.000Z,19.22,19.2,19.2
19.24,2019-11-18T18:20:00.000Z,19.24,19.215,19.22
19.285,2019-11-18T18:25:00.000Z,19.285,19.26,19.28
19.275,2019-11-18T18:30:00.000Z,19.275,19.25,19.25
19.28,2019-11-18T18:35:00.000Z,19.28,19.265,19.265
19.285,2019-11-18T18:40:00.000Z,19.3,19.28,19.28
19.3,2019-11-18T18:45:00.000Z,19.3,19.285,19.285
19.24,2019-11-18T18:50:00.000Z,19.25,19.24,19.25
19.21,2019-11-18T18:55:00.000Z,19.235,19.205,19.235
19.22,2019-11-18T19:00:00.000Z,19.22,19.21,19.21
19.275,2019-11-18T19:05:00.000Z,19.275,19.22,19.22
19.3,2019-11-18T19:10:00.000Z,19.3,19.275,19.275
19.315,2019-11-18T19:15:00.000Z,19.315,19.3,19.3
19.31,2019-11-18T19:20:00.000Z,19.36,19.31,19.33
19.34,2019-11-18T19:25:00.000Z,19.34,19.295,19.295
19.295,2019-11-18T19:30:00.000Z,19.345,19.295,19.34
19.33,2019-11-18T19:35:00.000Z,19.33,19.315,19.315
19.33,2019-11-18T19:40:00.000Z,19.33,19.3,19.33
19.375,2019-11-18T19:45:00.000Z,19.375,19.35,19.35
19.38,2019-11-18T19:50:00.000Z,19.39,19.38,19.38
19.39,2019-11-18T19:55:00.000Z,19.395,19.385,19.385
19.36,2019-11-18T20:00:00.000Z,19.415,19.33,19.415
19.355,2019-11-18T20:05:00.000Z,19.355,19.32,19.34
19.365,2019-11-18T20:10:00.000Z,19.37,19.33,19.355
19.305,2019-11-18T20:15:00.000Z,19.365,19.305,19.365
19.305,2019-11-18T20:20:00.000Z,19.305,19.285,19.3
19.35,2019-11-18T20:25:00.000Z,19.35,19.315,19.315
19.415,2019-11-18T20:30:00.000Z,19.415,19.355,19.355
19.355,2019-11-18T20:35:00.000Z,19.425,19.335,19.425
19.37,2019-11-18T20:40:00.000Z,19.385,19.355,19.355
19.445,2019-11-18T20:45:00.000Z,19.445,19.33,19.33
19.435,2019-11-18T20:50:00.000Z,19.45,19.4,19.445
19.435,2019-11-18T20:55:00.000Z,19.45,19.43,19.445
19.435,2019-11-18T21:00:00.000Z,19.435,19.435,19.435
19.84,2019-11-19T14:30:00.000Z,19.84,19.435,19.435
19.67,2019-11-19T14:35:00.000Z,19.84,19.61,19.84
19.34,2019-11-19T14:40:00.000Z,19.67,19.34,19.67
19.5,2019-11-19T14:45:00.000Z,19.5,19.32,19.32
19.415,2019-11-19T14:50:00.000Z,19.5,19.415,19.5
19.34,2019-11-19T14:55:00.000Z,19.415,19.34,19.415
19.19,2019-11-19T15:00:00.000Z,19.34,19.19,19.34
19.17,2019-11-19T15:05:00.000Z,19.17,19.17,19.17
19.25,2019-11-19T15:10:00.000Z,19.25,19.17,19.17
19.505,2019-11-19T15:15:00.000Z,19.505,19.25,19.25
19.46,2019-11-19T15:20:00.000Z,19.52,19.46,19.515
19.53,2019-11-19T15:25:00.000Z,19.53,19.46,19.46
19.54,2019-11-19T15:30:00.000Z,19.54,19.48,19.505
19.505,2019-11-19T15:35:00.000Z,19.585,19.49,19.54
19.5,2019-11-19T15:40:00.000Z,19.505,19.5,19.505
19.335,2019-11-19T15:45:00.000Z,19.515,19.335,19.5
