close,date,high,low,open
4.01,2019-11-18T17:15:00.000Z,4.01,4.01,4.01
4.01,2019-11-18T17:20:00.000Z,4.01,4.01,4.01
4.01,2019-11-18T17:25:00.000Z,4.01,4.01,4.01
4.01,2019-11-18T17:30:00.000Z,4.01,4.01,4.01
3.985,2019-11-18T17:35:00.000Z,4.01,3.985,4.01
3.99,2019-11-18T17:40:00.000Z,3.99,3.985,3.985
3.995,2019-11-18T17:45:00.000Z,3.995,3.99,3.99
3.96,2019-11-18T17:50:00.000Z,3.995,3.96,3.995
3.96,2019-11-18T17:55:00.000Z,3.96,3.96,3.96
3.97,2019-11-18T18:00:00.000Z,3.97,3.96,3.96
3.965,2019-11-18T18:05:00.000Z,3.97,3.965,3.97
3.95,2019-11-18T18:10:00.000Z,3.965,3.95,3.965
3.93,2019-11-18T18:15:00.000Z,3.95,3.93,3.95
3.915,2019-11-18T18:20:00.000Z,3.93,3.915,3.93
3.92,2019-11-18T18:25:00.000Z,3.92,3.915,3.915
3.905,2019-11-18T18:30:00.000Z,3.92,3.905,3.92
3.9,2019-11-18T18:35:00.000Z,3.905,3.9,3.905
3.9,2019-11-18T18:40:00.000Z,3.9,3.9,3.9
3.9,2019-11-18T18:45:00.000Z,3.9,3.9,3.9
3.875,2019-11-18T18:50:00.000Z,3.9,3.875,3.9
3.875,2019-11-18T18:55:00.000Z,3.875,3.875,3.875
3.87,2019-11-18T19:00:00.000Z,3.87,3.87,3.87
3.865,2019-11-18T19:05:00.000Z,3.875,3.865,3.87
3.865,2019-11-18T19:10:00.000Z,3.87,3.865,3.87
3.865,2019-11-18T19:15:00.000Z,3.865,3.865,3.865
3.84,2019-11-18T19:20:00.000Z,3.865,3.82,3.865
3.845,2019-11-18T19:25:00.000Z,3.85,3.84,3.84
3.855,2019-11-18T19:30:00.000Z,3.855,3.845,3.845
3.855,2019-11-18T19:35:00.000Z,3.855,3.855,3.855
3.855,2019-11-18T19:40:00.000Z,3.855,3.855,3.855
3.865,2019-11-18T19:45:00.000Z,3.865,3.835,3.855
3.87,2019-11-18T19:50:00.000Z,3.87,3.865,3.865
3.865,2019-11-18T19:55:00.000Z,3.87,3.865,3.87
3.865,2019-11-18T20:00:00.000Z,3.865,3.865,3.865
3.855,2019-11-18T20:05:00.000Z,3.865,3.855,3.865
3.855,2019-11-18T20:10:00.000Z,3.855,3.855,3.855
3.84,2019-11-18T20:15:00.000Z,3.84,3.84,3.84
3.825,2019-11-18T20:20:00.000Z,3.825,3.825,3.825
3.815,2019-11-18T20:25:00.000Z,3.825,3.815,3.825
3.815,2019-11-18T20:30:00.000Z,3.815,3.815,3.815
3.815,2019-11-18T20:35:00.000Z,3.815,3.815,3.815
3.815,2019-11-18T20:40:00.000Z,3.815,3.815,3.815
3.815,2019-11-18T20:45:00.000Z,3.82,3.815,3.815
3.815,2019-11-18T20:50:00.000Z,3.815,3.815,3.815
3.825,2019-11-18T20:55:00.000Z,3.835,3.815,3.815
3.825,2019-11-18T21:00:00.000Z,3.825,3.825,3.825
3.825,2019-11-19T14:30:00.000Z,3.825,3.825,3.825
3.825,2019-11-19T14:35:00.000Z,3.825,3.825,3.825
3.825,2019-11-19T14:40:00.000Z,3.825,3.825,3.825
3.74,2019-11-19T14:45:00.000Z,3.825,3.74,3.825
3.76,2019-11-19T14:50:00.000Z,3.76,3.74,3.74
3.76,2019-11-19T14:55:00.000Z,3.76,3.76,3.76
3.76,2019-11-19T15:00:00.000Z,3.76,3.76,3.76
3.76,2019-11-19T15:05:00.000Z,3.76,3.76,3.76
3.76,2019-11-19T15:10:00.000Z,3.76,3.76,3.76
3.76,2019-11-19T15:15:00.000Z,3.76,3.76,3.76
3.76,2019-11-19T15:20:00.000Z,3.76,3.76,3.76
3.835,2019-11-19T15:25:00.000Z,3.835,3.835,3.835
3.83,2019-11-19T15:30:00.000Z,3.835,3.83,3.835
3.83,2019-11-19T15:35:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T15:40:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T15:45:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T15:50:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T15:55:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T16:00:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T16:05:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T16:10:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T16:15:00.000Z,3.83,3.83,3.83
3.83,2019-11-19T16:20:00.000Z,3.83,3.83,3.83
3.785,2019-11-19T16:25:00.000Z,3.83,3.785,3.83
3.785,2019-11-19T16:30:00.000Z,3.785,3.785,3.785
3.805,2019-11-19T16:35:00.000Z,3.805,3.785,3.785
3.805,2019-11-19T16:40:00.000Z,3.805,3.805,3.805
3.805,2019-11-19T16:45:00.000Z,3.805,3.805,3.805
