close,date,high,low,open
36.985,2019-11-07T17:10:00.000Z,37.015,36.985,37.01
36.98,2019-11-07T17:15:00.000Z,36.985,36.965,36.985
36.985,2019-11-07T17:20:00.000Z,37.005,36.985,36.99
36.995,2019-11-07T17:25:00.000Z,37.0,36.98,36.99
36.995,2019-11-07T17:30:00.000Z,36.995,36.99,36.995
36.99,2019-11-07T17:35:00.000Z,36.995,36.98,36.995
36.995,2019-11-07T17:40:00.000Z,37.0,36.98,36.995
37.005,2019-11-07T17:45:00.000Z,37.015,36.99,36.995
36.995,2019-11-07T17:50:00.000Z,37.01,36.995,37.005
37.065,2019-11-07T17:55:00.000Z,37.07,36.995,37.005
37.09,2019-11-07T18:00:00.000Z,37.095,37.06,37.06
37.08,2019-11-07T18:05:00.000Z,37.09,37.08,37.085
37.075,2019-11-07T18:10:00.000Z,37.09,37.075,37.09
37.06,2019-11-07T18:15:00.000Z,37.08,37.06,37.075
37.045,2019-11-07T18:20:00.000Z,37.07,37.035,37.06
37.065,2019-11-07T18:25:00.000Z,37.065,37.035,37.045
37.05,2019-11-07T18:30:00.000Z,37.065,37.05,37.055
37.045,2019-11-07T18:35:00.000Z,37.06,37.04,37.055
37.065,2019-11-07T18:40:00.000Z,37.07,37.045,37.045
37.065,2019-11-07T18:45:00.000Z,37.07,37.05,37.065
37.045,2019-11-07T18:50:00.000Z,37.07,37.04,37.055
36.995,2019-11-07T18:55:00.000Z,37.065,36.985,37.05
37.05,2019-11-07T19:00:00.000Z,37.065,36.985,36.995
37.04,2019-11-07T19:05:00.000Z,37.065,37.035,37.04
37.055,2019-11-07T19:10:00.000Z,37.065,37.04,37.045
37.05,2019-11-07T19:15:00.000Z,37.06,37.03,37.055
37.03,2019-11-07T19:20:00.000Z,37.05,37.03,37.045
37.015,2019-11-07T19:25:00.000Z,37.045,37.01,37.03
36.995,2019-11-07T19:30:00.000Z,37.015,36.97,37.015
36.985,2019-11-07T19:35:00.000Z,37.0,36.975,37.0
36.955,2019-11-07T19:40:00.000Z,37.0,36.915,36.985
36.925,2019-11-07T19:45:00.000Z,36.98,36.925,36.955
36.915,2019-11-07T19:50:00.000Z,36.95,36.905,36.935
36.915,2019-11-07T19:55:00.000Z,36.94,36.915,36.915
36.935,2019-11-07T20:00:00.000Z,36.945,36.915,36.915
36.945,2019-11-07T20:05:00.000Z,36.945,36.925,36.935
36.92,2019-11-07T20:10:00.000Z,36.94,36.92,36.94
36.915,2019-11-07T20:15:00.000Z,36.925,36.9,36.925
36.92,2019-11-07T20:20:00.000Z,36.93,36.89,36.915
36.925,2019-11-07T20:25:00.000Z,36.93,36.91,36.92
36.92,2019-11-07T20:30:00.000Z,36.93,36.92,36.925
36.89,2019-11-07T20:35:00.000Z,36.925,36.88,36.92
36.885,2019-11-07T20:40:00.000Z,36.915,36.885,36.89
36.92,2019-11-07T20:45:00.000Z,36.92,36.885,36.885
36.905,2019-11-07T20:50:00.000Z,36.935,36.9,36.92
36.91,2019-11-07T20:55:00.000Z,36.94,36.895,36.905
36.91,2019-11-07T21:00:00.000Z,36.91,36.91,36.91
36.905,2019-11-08T14:30:00.000Z,36.92,36.845,36.885
36.86,2019-11-08T14:35:00.000Z,36.91,36.845,36.91
36.89,2019-11-08T14:40:00.000Z,36.905,36.845,36.855
36.985,2019-11-08T14:45:00.000Z,37.01,36.895,36.895
36.89,2019-11-08T14:50:00.000Z,36.995,36.86,36.985
36.865,2019-11-08T14:55:00.000Z,36.99,36.865,36.895
36.94,2019-11-08T15:00:00.000Z,37.01,36.885,36.9
36.885,2019-11-08T15:05:00.000Z,36.955,36.855,36.935
36.885,2019-11-08T15:10:00.000Z,36.915,36.86,36.88
36.935,2019-11-08T15:15:00.000Z,36.94,36.875,36.885
36.91,2019-11-08T15:20:00.000Z,36.96,36.905,36.935
36.93,2019-11-08T15:25:00.000Z,36.935,36.91,36.915
36.915,2019-11-08T15:30:00.000Z,36.935,36.895,36.93
36.93,2019-11-08T15:35:00.000Z,36.93,36.895,36.92
36.99,2019-11-08T15:40:00.000Z,37.01,36.925,36.925
37.0,2019-11-08T15:45:00.000Z,37.005,36.97,36.995
37.005,2019-11-08T15:50:00.000Z,37.01,36.98,37.0
37.01,2019-11-08T15:55:00.000Z,37.01,37.0,37.005
37.035,2019-11-08T16:00:00.000Z,37.05,36.995,37.005
36.995,2019-11-08T16:05:00.000Z,37.045,36.99,37.035
37.045,2019-11-08T16:10:00.000Z,37.065,36.995,37.0
36.995,2019-11-08T16:15:00.000Z,37.04,36.99,37.035
36.965,2019-11-08T16:20:00.000Z,37.005,36.955,36.995
36.965,2019-11-08T16:25:00.000Z,36.97,36.95,36.965
37.005,2019-11-08T16:30:00.000Z,37.01,36.955,36.96
37.005,2019-11-08T16:35:00.000Z,37.01,36.985,36.99
36.995,2019-11-08T16:40:00.000Z,37.015,36.97,37.0
