close,date,high,low,open
11.75,2019-11-07T17:10:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:15:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:20:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:25:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:30:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:35:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:40:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:45:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:50:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T17:55:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:00:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:05:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:10:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:15:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:20:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:25:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:30:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:35:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:40:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:45:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:50:00.000Z,11.75,11.75,11.75
11.75,2019-11-07T18:55:00.000Z,11.75,11.75,11.75
11.51,2019-11-07T19:00:00.000Z,11.75,11.51,11.75
11.51,2019-11-07T19:05:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:10:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:15:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:20:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:25:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:30:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:35:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:40:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:45:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:50:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T19:55:00.000Z,11.51,11.51,11.51
11.51,2019-11-07T20:00:00.000Z,11.51,11.51,11.51
